note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3059569,Saint Kitts and Nevis,17.2973552,-62.7110365,2022-02-21 00:00:00,2025-10-05 08:43:56,0,user_5359,Please check the currency of this atm. The actual value is definitly wrong.,5,1,user_5359,changed
2108502,Saint Kitts and Nevis,17.1908067,-62.6136974,2020-03-03 00:00:00,2024-01-13 21:12:24,0,Unknown,Jones Estate,2,0,Nordpfeil,added
2435466,Saint Kitts and Nevis,17.1644600,-62.6094200,2020-11-21 00:00:00,2024-01-13 21:09:47,0,Unknown,Lemongrass House,2,0,Nordpfeil,
1305121,Saint Kitts and Nevis,17.3511286,-62.7333533,2018-02-20 00:00:00,2023-10-23 18:53:22,0,Unknown,Lolly dolly,3,0,confusedbuffalo,This does not seem to refer to something that should be mapped in OSM #invalid
3910510,Saint Kitts and Nevis,17.2970114,-62.7403235,2023-09-27 00:00:00,2023-10-23 18:53:14,0,Blakpantha007,Vaughan's Residence,2,0,confusedbuffalo,This sounds like a personal bookmark and that is not what public OSM notes should be used for. #invalid
1713522,Saint Kitts and Nevis,17.1299400,-62.5878000,2019-03-17 00:00:00,2023-08-17 01:17:31,0,Unknown,"The service:vehicle prefix is not an officially documented format (undiscussed, and it adds no information). Please check whether this format makes sense in your eyes an act accordingly : https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcar#Example Background info : https://wiki.openstreetmap.org/wiki/Tag:shop%3Dcar#Tags_used_in_combination",2,0,CurlingMan13,"Based on the wiki page for this specific tag, it is widely used and has been documented thoroughly.  This note is outdated and obsolete.  https://wiki.openstreetmap.org/wiki/Key:service:vehicle:*"
3699083,Saint Kitts and Nevis,17.1376700,-62.6215700,2023-05-21 00:00:00,2023-05-21 12:31:56,0,BRDMapping,"Alexandra Hospital, Nevis, West Indies Located on Government Road, St. Paul Parish Provides Multiple Care Facilities",2,0,BRDMapping,
3079443,Saint Kitts and Nevis,17.2941600,-62.7226500,2022-03-08 00:00:00,2023-03-01 07:55:56,0,Unknown,I Love St.Kitts,2,0,confusedbuffalo,
3079445,Saint Kitts and Nevis,17.2928600,-62.7221700,2022-03-08 00:00:00,2023-03-01 07:55:53,0,Unknown,I Love St.Kitts 2,2,0,confusedbuffalo,
1813942,Saint Kitts and Nevis,17.2987527,-62.7174609,2019-06-15 00:00:00,2020-01-21 17:30:15,0,Rickey Tyson,'Catherine Julius Street' POI has no name POI types: psurface-paved_good hwtag-yesbicycle hwtag-yesfoot highway-residential OSM data version: 2019-05-17T13:54:02Z  #mapsme,2,0,Syl,Duplicated note
1543027,Saint Kitts and Nevis,17.2934330,-62.7351862,2018-09-27 00:00:00,2019-05-05 20:13:47,0,Nando Giraldo,"'all area is locked so we can mark particular building in it' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: building OSM data version: 2018-03-16T17:06:02Z  #mapsme",2,0,freebeer,problem reverted
1571571,Saint Kitts and Nevis,17.2941700,-62.7363500,2018-10-26 00:00:00,2019-05-05 20:10:23,0,freebeer,monster building here that previously was a residential landuse.,2,0,freebeer,back to normal
1716437,Saint Kitts and Nevis,17.3007000,-62.7264000,2019-03-19 00:00:00,2019-03-20 15:53:28,0,Unknown,dddddfdsd,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
1543080,Saint Kitts and Nevis,17.2934330,-62.7351862,2018-09-28 00:00:00,2019-03-05 19:19:15,0,Nando Giraldo,"'all area is locked so we can mark particular building in it' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: building OSM data version: 2018-03-16T17:06:02Z  #mapsme",2,0,Syl,Duplicate note
1516280,Saint Kitts and Nevis,17.1985634,-62.6113415,2018-09-06 00:00:00,2018-10-26 08:20:57,0,Unknown,VCU start here,2,0,freebeer,no mapping info
1237610,Saint Kitts and Nevis,17.2960631,-62.7223183,2017-12-13 00:00:00,2018-10-26 08:04:36,0,JojoDE,'independence square' POI has no name POI types: leisure-park OSM data version: 2017-10-20T12:20:02Z  #mapsme,2,0,freebeer,on the map
1293408,Saint Kitts and Nevis,17.3489850,-62.7309570,2018-02-08 00:00:00,2018-05-02 14:56:56,0,Unknown,Cayon Cotton Ginnery,2,0,Nando Giraldo,
1309482,Saint Kitts and Nevis,17.2960500,-62.7248200,2018-02-24 00:00:00,2018-02-24 12:56:05,0,Livinscia,Treasury,4,1,Livinscia,
1304919,Saint Kitts and Nevis,17.3529300,-62.7344600,2018-02-19 00:00:00,2018-02-20 15:07:04,0,Sharonc41,Seventh day adventist,8,1,Sharonc41,Seventh Day adventist Church
1304789,Saint Kitts and Nevis,17.3507510,-62.7337039,2018-02-19 00:00:00,2018-02-19 16:03:38,0,Tahirah Dore,Moravian Church,4,1,Tahirah Dore,
1304632,Saint Kitts and Nevis,17.3598752,-62.8450584,2018-02-19 00:00:00,2018-02-19 12:41:12,0,Unknown,"This area here is Sandy Point's Hard court, used for netball,basketball, cultural queen shows and other community events",2,0,Jo✌,This description was mapped wrong
1290537,Saint Kitts and Nevis,17.1401400,-62.6286810,2018-02-05 00:00:00,2018-02-13 18:14:50,0,Jamal Jean-Jacques,The Office,2,0,freebeer,n0 useful mapping inf0
1290520,Saint Kitts and Nevis,17.1305810,-62.6300630,2018-02-05 00:00:00,2018-02-13 18:14:24,0,Eliesel Ramirez,Prince of peace tabernacle,6,1,freebeer,0n the map
1293411,Saint Kitts and Nevis,17.3490420,-62.7272520,2018-02-08 00:00:00,2018-02-13 18:13:01,0,Unknown,St. Mary’s Playing Field,2,0,freebeer,0n the map
1291503,Saint Kitts and Nevis,17.1307995,-62.5821532,2018-02-06 00:00:00,2018-02-10 00:07:26,0,Unknown,I'm starting here at the community center.,2,0,TresiaMelange,
1293471,Saint Kitts and Nevis,17.3137170,-62.7253560,2018-02-08 00:00:00,2018-02-10 00:06:08,0,B-Rose,House,2,0,TresiaMelange,
1293147,Saint Kitts and Nevis,17.1124881,-62.5509043,2018-02-08 00:00:00,2018-02-08 12:28:25,0,Was in richardson,horse race track,2,0,Was in richardson,
1277181,Saint Kitts and Nevis,17.1310100,-62.6297000,2018-01-23 00:00:00,2018-02-06 15:50:08,0,TresiaMelange,Maude Smith Pre,6,1,TresiaMelange,
1290582,Saint Kitts and Nevis,17.1327020,-62.6266340,2018-02-05 00:00:00,2018-02-06 14:36:21,0,Unknown,Bath Stream,2,0,TresiaMelange,
517543,Saint Kitts and Nevis,17.2044462,-62.5887412,2016-02-22 00:00:00,2017-11-27 02:39:22,0,Unknown,Rumours has been closed for years,3,0,HubMiner,Has been addressed.
517546,Saint Kitts and Nevis,17.1360179,-62.6266140,2016-02-22 00:00:00,2017-11-27 02:38:03,0,Unknown,Add Lyn's Deli,2,0,HubMiner,added
1143194,Saint Kitts and Nevis,17.2875664,-62.6856035,2017-09-17 00:00:00,2017-09-20 11:14:39,0,Myflyen007,'Night life and sushi bar.' POI name: Buddha Bar POI types: amenity-nightclub OSM data version: 2017-07-03T17:28:05Z  #mapsme,2,0,freebeer,on the map
517545,Saint Kitts and Nevis,17.2063935,-62.5946474,2016-02-22 00:00:00,2016-02-29 13:48:46,0,Unknown,Pizza Beach restaurant is at the other end of this road,3,0,CT-WNI,This is the wrong location for Pizza Beach. It's actually at the end of this road
491666,Saint Kitts and Nevis,17.1875965,-62.6191413,2016-01-02 00:00:00,2016-01-06 14:49:26,0,CT-WNI,1) Sea Bridge Ferry Terminal (point) does not show.  2) I was able to extend the access road but the changes to the shoreline do not show,2,0,CT-WNI,
