note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
2276208,Antigua and Barbuda,17.1225660,-61.8449163,2020-07-23 00:00:00,2026-01-17 00:36:15,2004,Unknown,"onosm.org submitted note from a business: name: Brooks Juice Bar phone: 268-729-2245 website:  twitter: undefined hours: Monday - Friday 7:00am - 6:00pm Saturday 9:00am - 5:00pm category: ,Juice Bars & Smoothies address:",2,0,HostileSpark,"Does not appear to exist anymore, the facebook page for this establishment seems to no longer exist unfortunately. Couldn't find any other resource to confirm this still exists in 2026 (or since 2020). Closing this map note."
2010776,Antigua and Barbuda,17.1215190,-61.8409699,2019-11-28 00:00:00,2026-01-17 00:32:36,2242,CSW_SaintLucia,'Closed' POI has no name POI types: amenity-fuel OSM data version: 2019-10-19T16:52:54Z  #mapsme,2,0,HostileSpark,"Removed node, I was unable to locate the fuel amenity with street level photographs as of 2024. This change will be reflected in my changeset later today."
3621009,Antigua and Barbuda,17.1209716,-61.8373632,2023-03-30 00:00:00,2026-01-17 00:25:58,1024,buynsell,Big Banana,2,0,HostileSpark,"Presume this was in regards to a restaurant called 'Big Banana'. It's located west of here by the harbour. I've updated the node with another changeset, and will be closing this map note."
1021540,Antigua and Barbuda,17.1577190,-61.8301774,2017-06-06 00:00:00,2026-01-17 00:15:43,3147,yurasi,Can someone please confirm and add if over here is 'St. Anthony's Secondary School'?,2,0,HostileSpark,"Confirmed off website photos to match the area just north of here. I've added a node to reflect this, but looks like the area will need to be cleaned up due to old data."
3052938,Antigua and Barbuda,17.0824196,-61.7179315,2022-02-15 00:00:00,2026-01-16 23:42:53,1431,Unknown,The Reef Green Island,2,0,HostileSpark,"Unclear if this is referring to Green Island, which is not in this location. Closing this note. Please open a new note if this is incorrect."
4632421,Antigua and Barbuda,17.1685977,-61.8117642,2025-02-18 00:00:00,2026-01-16 23:33:44,332,Unknown,questa è la reale posizione del ristorante MAMMA MIA in Antigua - Hodges bay road dentro NORTHSHORE SEASIDE SUITES,2,0,HostileSpark,Should be addressed in my latest changeset today.  Dovrebbe essere affrontato nel mio ultimo aggiornamento di oggi.
2193366,Antigua and Barbuda,17.1540117,-61.8443388,2020-05-15 00:00:00,2026-01-16 23:05:37,2072,Acura00,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Stella Ristorante POI types: amenity-restaurant OSM data version: 2018-05-26T22:39:02Z  #mapsme",2,0,HostileSpark,"Facebook page notes the business as temporarily closed as of March 28, 2025. Business hours now reflect 'closed' with a description indicating such. Should be reflected in my changeset for today."
1189908,Antigua and Barbuda,17.0118720,-61.7688467,2017-10-30 00:00:00,2026-01-16 22:45:11,3000,BPM805,"'closed permanently' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Mad Mongoose POI types: building amenity-restaurant OSM data version: 2017-09-17T07:13:02Z  #mapsme",2,0,HostileSpark,This location show now be fixed once my changeset from today goes live.
4850305,Antigua and Barbuda,17.0119502,-61.7689003,2025-07-11 00:00:00,2026-01-16 22:45:05,189,BPM805,"'closed in 2015' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-06-08T00:18:23Z POI name: Mad Mongoose POI types: building amenity-restaurant  #organicmaps ios",2,0,HostileSpark,This location show now be fixed once my changeset from today goes live.
