note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4249866,Montserrat,16.7806000,-62.1906000,2024-05-17 00:00:00,2025-11-25 13:00:19,0,Unknown,Judy Piece,2,0,LiJu09,https://www.openstreetmap.org/way/745182747
4287840,Montserrat,16.7833700,-62.2067900,2024-06-11 00:00:00,2025-11-25 12:59:11,0,Unknown,Bank of Montserrat,2,0,LiJu09,https://www.openstreetmap.org/way/1228075914
1683240,Montserrat,16.7385522,-62.2324035,2019-02-16 00:00:00,2023-10-14 13:07:47,0,Pie70,'Montserrat Yaught Club Restaurant & Bar' POI has no name POI types: building OSM data version: 2019-01-13T09:03:02Z  #mapsme,2,0,confusedbuffalo,Has since been added with correct name
3346869,Montserrat,16.7851247,-62.1896245,2022-09-05 00:00:00,2023-04-13 12:37:03,0,Priya1904,Our users indicate that the road name is 'Judy Piece' instead ofJudy Peace. We cannot find any available sources to verify this information. Can any local mappers confirm this? #MSFTOpenMaps.,2,0,DareDJ,
3346874,Montserrat,16.7838952,-62.1936451,2022-09-05 00:00:00,2023-04-13 12:36:45,0,Priya1904,Our users indicate that the road name is 'Level Piece' instead of Level Peace. We cannot find any available sources to verify this information. Can any local mappers confirm this? #MSFTOpenMaps.,2,0,DareDJ,
3499091,Montserrat,16.7518246,-62.1838188,2022-12-31 00:00:00,2023-01-01 13:57:59,0,Unknown,a,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
2829985,Montserrat,16.7570435,-62.1752787,2021-08-31 00:00:00,2021-09-01 06:34:08,0,Unknown,u6ttrhrthtru,2,0,kartonage,This note does not contain anything meaningful to add to the map.
1999369,Montserrat,16.7608218,-62.2193313,2019-11-17 00:00:00,2020-02-26 09:35:25,0,Unknown,Gros Michel Drive (not 'Gross Michael'),2,0,kartonage,Adjusted.
1689001,Montserrat,16.7419741,-62.2254375,2019-02-22 00:00:00,2020-02-26 09:30:50,0,Pie70,'No Bridge crossing generally dry river bed - impassable with rain.  Wye just north of river does not extend river bed - move south junction point farther north.' POI has no name POI types: highway-rest_area OSM data version: 2019-01-13T09:03:02Z  #mapsme,2,0,kartonage,Not mapped as bridge but has been adjusted a bit.
1259201,Montserrat,16.7904930,-62.1965517,2018-01-05 00:00:00,2018-11-01 09:40:35,0,Wayne Fenton,"'Fentys Markin’s Photography Services' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: building OSM data version: 2017-06-09T16:24:09Z  #mapsme",2,0,Nordpfeil,deleted
