note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5262750,Suomi / Finland,60.2080172,24.6633429,2026-04-23 00:00:00,2026-04-24 04:55:58,1,Barro,Unable to answer 'Do these steps have a handrail?' – Steps – https://osm.org/way/1272105629 via StreetComplete 63.0:  Ei portaita  Attached photo(s): https://streetcomplete.app/p/340264.jpg,2,0,liljaadeliina,"Poistettu portaat, lisätty tilalle kävelytie."
4950709,Suomi / Finland,62.6106436,29.7484888,2025-09-07 00:00:00,2026-04-23 18:49:14,228,3Johnny,"In context of overlay 'Buildings' – house number 13: House – https://osm.org/way/461362317 via StreetComplete 61.3:  Purettu, uutta rakennetaan palstaan.",3,0,puustain,Uusi paritalo ja autokatos lisätty.
5068664,Suomi / Finland,62.6111248,29.7565722,2025-11-26 00:00:00,2026-04-23 18:48:26,148,3Johnny,Tänne on rakenteilla uusi radiomasto.  via StreetComplete 62.0  Attached photo(s): https://streetcomplete.app/p/317953.jpg,5,1,puustain,Huoltotie lisätty
5249627,Suomi / Finland,60.4765320,22.3211370,2026-04-14 00:00:00,2026-04-23 11:18:15,9,Pekrus,Campfire and a bench with a table here. visible on the map on this web page: https://www.turku.fi/ulkoilu-ja-retkeily/tulentekopaikat,4,0,lankapuhelin,Kiitos! Merkkasin amenity=bbq ja piknikpöydän.
5246971,Suomi / Finland,60.1397649,24.9844600,2026-04-12 00:00:00,2026-04-23 09:20:31,11,peanuthole,Path blocked by fence  via StreetComplete_ee 63.0,2,0,liljaadeliina,Added the fence
5246972,Suomi / Finland,60.1391875,24.9845798,2026-04-12 00:00:00,2026-04-23 09:18:58,11,peanuthole,steps  via StreetComplete_ee 63.0  GPS Trace: https://www.openstreetmap.org/user/peanuthole/traces/12288464,2,0,liljaadeliina,Added them
5253342,Suomi / Finland,60.5406004,26.9685644,2026-04-17 00:00:00,2026-04-23 07:34:29,6,Irvi_Kissa,"'Edustalla pieni asiakasparkki.' OSM snapshot date: 2026-04-04T03:36:32Z POI name: Vianor Kotka, Pulttikatu POI types: shop-tyres  #organicmaps android 2026.04.07-12-Google",2,0,Karttakeisari,"Kiitos, lisätty"
5253440,Suomi / Finland,60.5613510,27.0457396,2026-04-17 00:00:00,2026-04-23 07:32:06,6,Irvi_Kissa,"'Poistunut' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2026-04-04T03:36:32Z POI name: Sale Neuvoton POI types: amenity-fuel  #organicmaps android 2026.04.07-12-Google",2,0,Karttakeisari,"Kiitos, poistettu kartalta"
5261554,Suomi / Finland,63.8424847,23.0853295,2026-04-22 00:00:00,2026-04-22 18:40:02,0,Unknown,Puuttuu uusi pyörätie Lataamon läpi Port Towerin pihaan.,5,1,Unknown,
