note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5031920,República Árabe Saharaui Democrática الجمهورية العربية الصحراوية الديمقراطية,26.4680345,-11.0512829,2025-10-31 00:00:00,2025-11-01 20:27:44,0,Unknown,Is this republic doesn't exist anymore from now??,2,0,NeisReview,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4767668,República Árabe Saharaui Democrática الجمهورية العربية الصحراوية الديمقراطية,27.6670337,-8.7746429,2025-05-20 00:00:00,2025-06-14 16:05:59,0,BenSteve,"Hi, the boarder between Marocco und Western Sahara is not correct. You are showing the area of western sahara which is occupied by Marocco as maroccan territory, though it is still Western Sahara Territoy. Sources: - https://en.wikipedia.org/wiki/Western_Sahara - https://www.google.com/maps/place/Western+Sahara/@24.0570723,-15.7021883,7z/data=!3m1!4b1!4m6!3m5!1s0xc22482523302153:0xb7a6f81873dfd75a!8m2!3d24.215527!4d-12.885834!16zL20vMDgycWs?entry=ttu&g_ep=EgoyMDI1MDUxNS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D  Thank you, Ben",3,0,s777n,OSM notes is kinda wrong place for this type of discussion if regular mapper would try to change border without proper discussion their changes will just be reverted.  First of all there are bunch of different boundaries:   Western Sahara - https://www.openstreetmap.org/relation/2559126 Morocco except Western Sahara - https://www.openstreetmap.org/relation/13407035 Morocco - https://www.openstreetmap.org/relation/3630439   To understand how disputed territories are mapped in OpenStreetMap read this: https://wiki.openstreetmap.org/wiki/Disputed_territories  There is also few useful link in Western Sahara part of this page. More details  and how to find previous discussions on this topic:  https://wiki.openstreetmap.org/wiki/Disputed_territories#Africa  If you still think it is mapped wrongly than you can try to comment in one of the previous discussions. But realistically it will take way more than just link to Wikipedia con convince people to change it.
3484884,República Árabe Saharaui Democrática الجمهورية العربية الصحراوية الديمقراطية,21.3853000,-14.7172000,2022-12-20 00:00:00,2024-10-20 23:01:18,0,Tilges,Uad Teralal,4,1,Laabis,
2652328,República Árabe Saharaui Democrática الجمهورية العربية الصحراوية الديمقراطية,20.8325100,-17.0882900,2021-05-03 00:00:00,2024-09-22 02:47:58,0,Unknown,فندق انواكشوط,7,1,cigalonc,فندق مراكش
3679535,República Árabe Saharaui Democrática الجمهورية العربية الصحراوية الديمقراطية,20.8323943,-17.0901668,2023-05-08 00:00:00,2024-09-22 02:46:26,0,Unknown,مطعم مراكش,7,1,cigalonc,
1706438,República Árabe Saharaui Democrática الجمهورية العربية الصحراوية الديمقراطية,26.9207689,-8.7015367,2019-03-11 00:00:00,2024-05-29 07:13:05,0,Unknown,إستراحة للمسافرين,10,1,Tilges,
3424079,República Árabe Saharaui Democrática الجمهورية العربية الصحراوية الديمقراطية,26.1525383,-8.9758451,2022-11-01 00:00:00,2024-05-29 06:12:29,0,wardahanod,"',بولركانbolarkan' POI has no name POI types: man_made-water_well OSM data version: 2021-05-24T07:43:34Z  #mapsme",7,1,Tilges,
2413078,República Árabe Saharaui Democrática الجمهورية العربية الصحراوية الديمقراطية,24.8554440,-12.1165466,2020-11-07 00:00:00,2024-05-23 21:20:48,0,Open strett maps,خسارة الكميون ريحة و مولود,2,0,itsmohdx,
3424070,República Árabe Saharaui Democrática الجمهورية العربية الصحراوية الديمقراطية,23.3262707,-12.4308007,2022-11-01 00:00:00,2024-05-23 20:53:13,0,wardahanod,'احفير' POI has no name POI types: man_made-water_well OSM data version: 2021-05-24T07:43:34Z  #mapsme,6,1,itsmohdx,
