note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3335910,San Marino,43.9486919,12.4920703,2022-08-28 00:00:00,2026-01-07 12:31:04,1228,RaelZero,No path here,2,0,Martin Ligabue,"dalle mappe si vede il sentiero sparire negli anni, segnalato come disused"
2355106,San Marino,43.9091167,12.4796265,2020-09-19 00:00:00,2026-01-07 11:32:37,1936,Edoardo Zanotti,Ho appena mappato questo percorso seguendo  la mappa al sito https://ebikexperience.it/wp-content/uploads/2019/02/Mappa-Sentieri-ebikexperience-Repubblica-di-San-Marino.pdf (tratteggio percorso 24 località Giandilauro) ma non riesco a capire dove passa realmente.,2,0,Martin Ligabue,corretto secondo tracce gps
4450503,San Marino,43.9361529,12.4479124,2024-09-24 00:00:00,2025-10-07 10:19:52,0,PaperJack,Unable to answer 'What are the opening hours here?' – Nido dell'Aquila (Pizza Restaurant) – https://osm.org/node/5840181048 via StreetComplete 59.0:  È chiuso definitivamente.,2,0,girastyle,
4775004,San Marino,43.9375007,12.4459205,2025-05-25 00:00:00,2025-10-03 15:45:55,0,DVDGC13,The path follows up to the building  via StreetComplete_ee 60.3  Attached photo(s): https://streetcomplete.app/p/280285.jpg,3,0,Ekeefoof,Added path
4984125,San Marino,43.9219153,12.4505833,2025-09-29 00:00:00,2025-10-03 15:38:47,0,Ekeefoof,Steps  via StreetComplete_ee 61.1  GPS Trace: https://www.openstreetmap.org/user/Ekeefoof/traces/12076748,2,0,Ekeefoof,
4984124,San Marino,43.9229660,12.4512747,2025-09-29 00:00:00,2025-10-03 15:37:14,0,Ekeefoof,Steps  via StreetComplete_ee 61.1  GPS Trace: https://www.openstreetmap.org/user/Ekeefoof/traces/12076747,2,0,Ekeefoof,
4984122,San Marino,43.9313763,12.4505909,2025-09-29 00:00:00,2025-10-03 15:34:29,0,Ekeefoof,Path  via StreetComplete_ee 61.1  GPS Trace: https://www.openstreetmap.org/user/Ekeefoof/traces/12076745,2,0,Ekeefoof,
4984123,San Marino,43.9321790,12.4493444,2025-09-29 00:00:00,2025-10-03 15:32:57,0,Ekeefoof,Steps  via StreetComplete_ee 61.1  GPS Trace: https://www.openstreetmap.org/user/Ekeefoof/traces/12076746,2,0,Ekeefoof,
4325774,San Marino,43.9327743,12.4483816,2024-07-09 00:00:00,2025-10-03 15:29:43,0,Martin Poljak,Unable to answer 'What’s the surface here?' – Foot Path – https://osm.org/way/770077244 via StreetComplete 58.2:  Doesn't exist.,2,0,Ekeefoof,Fixed
4984121,San Marino,43.9325189,12.4484030,2025-09-29 00:00:00,2025-10-03 15:24:55,0,Ekeefoof,Steps  via StreetComplete_ee 61.1  Attached photo(s): https://streetcomplete.app/p/307834.jpg,2,0,Ekeefoof,
4984120,San Marino,43.9323377,12.4468730,2025-09-29 00:00:00,2025-10-03 15:15:34,0,Ekeefoof,Steps  via StreetComplete_ee 61.1  GPS Trace: https://www.openstreetmap.org/user/Ekeefoof/traces/12076744,2,0,Ekeefoof,
4984119,San Marino,43.9322452,12.4463287,2025-09-29 00:00:00,2025-10-03 15:11:56,0,Ekeefoof,Connection  via StreetComplete_ee 61.1,2,0,Ekeefoof,
4984118,San Marino,43.9107130,12.4602335,2025-09-29 00:00:00,2025-10-03 15:01:19,0,Ekeefoof,In context of overlay 'Surfaces' – Service Road – https://osm.org/way/767912099 via StreetComplete_ee 61.1:  oneway reverse,2,0,Ekeefoof,
4984117,San Marino,43.9107511,12.4590709,2025-09-29 00:00:00,2025-10-03 15:01:17,0,Ekeefoof,service road is connected to the main road  via StreetComplete_ee 61.1,2,0,Ekeefoof,
4983572,San Marino,43.9084388,12.4839600,2025-09-28 00:00:00,2025-10-03 14:58:45,0,Ekeefoof,Steps  via StreetComplete_ee 61.1  Attached photo(s): https://streetcomplete.app/p/307765.jpg,2,0,Ekeefoof,
4984115,San Marino,43.9094092,12.4865677,2025-09-29 00:00:00,2025-10-03 14:57:02,0,Ekeefoof,Piazzetta  via StreetComplete_ee 61.1  Attached photo(s): https://streetcomplete.app/p/307832.jpg,2,0,Ekeefoof,
4984116,San Marino,43.9092517,12.4865315,2025-09-29 00:00:00,2025-10-03 14:56:59,0,Ekeefoof,Path  via StreetComplete_ee 61.1  Attached photo(s): https://streetcomplete.app/p/307833.jpg,2,0,Ekeefoof,
4983574,San Marino,43.9098571,12.4865889,2025-09-28 00:00:00,2025-10-03 14:52:52,0,Ekeefoof,Passage  via StreetComplete_ee 61.1  Attached photo(s): https://streetcomplete.app/p/307766.jpg https://streetcomplete.app/p/307767.jpg,2,0,Ekeefoof,
4983571,San Marino,43.9099016,12.4867275,2025-09-28 00:00:00,2025-10-03 14:52:49,0,Ekeefoof,"Passage, steps  via StreetComplete_ee 61.1",2,0,Ekeefoof,
4983575,San Marino,43.9101857,12.4868518,2025-09-28 00:00:00,2025-10-03 14:52:15,0,Ekeefoof,Steps  via StreetComplete_ee 61.1  Attached photo(s): https://streetcomplete.app/p/307768.jpg https://streetcomplete.app/p/307769.jpg,2,0,Ekeefoof,
4098165,San Marino,43.9365184,12.4477553,2024-02-03 00:00:00,2025-09-29 12:02:09,0,Unknown,"'Not here, will add actual place' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2024-01-05T19:06:54Z POI has no name POI types: amenity-waste_basket  #organicmaps android",2,0,Ekeefoof,Exists
3335182,San Marino,43.9374490,12.4447931,2022-08-28 00:00:00,2025-05-30 12:05:57,0,discontinuity,"There are stairs that go up to this tower - coming up from the north to the south, ending right at the tower  via StreetComplete 45.2",3,0,MaestroGlanz,No feedback = probably fine.
4727681,San Marino,43.9374065,12.4461594,2025-04-25 00:00:00,2025-04-27 16:13:24,0,GBAB,steps  #OsmAnd,2,0,GBAB,
4727682,San Marino,43.9372710,12.4462595,2025-04-25 00:00:00,2025-04-27 16:13:24,0,GBAB,steps  #OsmAnd,2,0,GBAB,
3945714,San Marino,43.9875925,12.5110395,2023-10-17 00:00:00,2025-03-24 17:25:57,0,ivanbranco,é ancora senso unico ora che é stata trasformata in rotonda? sembra strano ci siano due uscite in senso unico... #survey_me,2,0,syntex,fixed
3700903,San Marino,43.9337725,12.4660707,2023-05-22 00:00:00,2025-03-24 17:08:23,0,Matyjace,"Forwarding anonymous report from #Mapy.cz user, please verify: 'public wc'",2,0,syntex,
4142974,San Marino,43.9201881,12.4526811,2024-03-07 00:00:00,2025-03-24 16:46:42,0,syntex,Fix roundabout geometry (Bing imagery),2,0,syntex,fixed
3128927,San Marino,43.9480566,12.4153188,2022-04-11 00:00:00,2025-03-24 16:21:11,0,Đuro Jiří,Qui c'è edificio in costruzione  via StreetComplete 42.0  Attached photo(s): https://westnordost.de/p/88248.jpg,2,0,syntex,
4482726,San Marino,43.9789726,12.4799407,2024-10-17 00:00:00,2025-02-25 07:31:04,0,Unknown,"E' stata inviata una nota tramite su.openstreetmap.it: Nome: Comifer S.r.l. Numero di telefono: +390549908030 Sito Web: https://www.comifer.sm Categoria: Ferramenta Indirizzo: Via Vitalis Di Giovanni 7, 47899 Dogana Modalità di pagamento accettate:  ConsegnaSì  Tag suggeriti: (⚠️ = richiede controllo) name=Comifer S.r.l. addr:street=Via Vitalis Di Giovanni addr:housenumber=7 addr:city=Dogana addr:postcode=47899 ⚠️ contact:phone|mobile=+390549908030 contact:website=https://www.comifer.sm  delivery=yes takeaway=undefined",2,0,Aluminum0173,
4376135,San Marino,43.9397487,12.4463351,2024-08-10 00:00:00,2024-11-02 19:21:39,0,KuperOSM,'Free public toilet located outside near unit 6 on the ground floor.' OSM snapshot date: 2024-07-23T19:32:09Z POI has no name POI types: amenity-toilets  #organicmaps android,2,0,Luca-gto,
3336426,San Marino,43.9762278,12.5083137,2022-08-29 00:00:00,2024-10-19 19:22:45,0,discontinuity,Unable to answer 'How many levels above the basement does this building have?' for https://osm.org/way/817651581 via StreetComplete 45.2:  Isn't a building. There's a concrete pad nearby but no building,2,0,Luca-gto,
4448720,San Marino,43.9338768,12.5069046,2024-09-23 00:00:00,2024-09-23 11:47:41,0,Unknown,smva790000$ ho,2,0,ivanbranco,
4448730,San Marino,43.9338768,12.5069046,2024-09-23 00:00:00,2024-09-23 11:47:38,0,Unknown,Smvrj KLTVMY,2,0,ivanbranco,
4448745,San Marino,43.9338800,12.5069000,2024-09-23 00:00:00,2024-09-23 11:47:33,0,Unknown,smvreolj 586+ $ LTI,2,0,ivanbranco,
4376136,San Marino,43.9397487,12.4463351,2024-08-10 00:00:00,2024-08-15 07:41:56,0,KuperOSM,'Public toilet located on the ground floor outside of unit 6' OSM snapshot date: 2024-07-23T19:32:09Z POI has no name POI types: amenity-toilets  #organicmaps android,2,0,KuperOSM,
4342480,San Marino,43.9404913,12.4458722,2024-07-20 00:00:00,2024-08-10 20:34:22,0,Olzaq,"Osmand+ tried to direct us opposite direction, but according to traffic sign this is one way  via StreetComplete 58.2  Attached photo(s): https://westnordost.de/p/225886.jpg",2,0,Samuele Battarra,sistemato
4342171,San Marino,43.9411059,12.4450733,2024-07-20 00:00:00,2024-08-10 19:57:21,0,Olzaq,Unable to answer 'How many car lanes does this road have?' – Via Giorgio Ordelaffi (Tertiary Road) – https://osm.org/way/768002073 via StreetComplete 58.2:  Please check if this actually exists. IMO it was not possible to turn left from here.,2,0,Samuele Battarra,"la strada non esiste, eliminata"
3337856,San Marino,43.9828808,12.4911958,2022-08-30 00:00:00,2024-07-19 04:54:58,0,discontinuity,There's a crossing here  via StreetComplete 45.2  Attached photo(s): https://westnordost.de/p/110443.jpg,2,0,MarcoR,fixed!
3753754,San Marino,43.9220399,12.4521634,2023-06-27 00:00:00,2024-01-22 08:34:57,0,Pan Perníček,"Forwarding anonymous report from #Mapy.cz user, please verify: There's parkinbg for caravans.",2,0,Ryccardo,"Added, thanks"
4056337,San Marino,43.9354613,12.4471780,2024-01-06 00:00:00,2024-01-07 15:01:49,0,Ryccardo,informazioni turistiche; museo del francobollo e della moneta,2,0,Ryccardo,
4056324,San Marino,43.9360133,12.4464562,2024-01-06 00:00:00,2024-01-07 15:01:48,0,Ryccardo,palazzo pergami-belluzzi,2,0,Ryccardo,
4056177,San Marino,43.9360929,12.4466876,2024-01-06 00:00:00,2024-01-06 21:39:55,0,Ryccardo,La saponeria del Titano  via StreetComplete 55.1,2,0,Ryccardo,
4056178,San Marino,43.9353627,12.4478237,2024-01-06 00:00:00,2024-01-06 21:39:55,0,Ryccardo,B&b Alloggio di Bacco  via StreetComplete 55.1,2,0,Ryccardo,
4056176,San Marino,43.9362960,12.4476127,2024-01-06 00:00:00,2024-01-06 21:39:55,0,Ryccardo,Nido del falco qui e chiuso  via StreetComplete 55.1,2,0,Ryccardo,
4056173,San Marino,43.9356617,12.4472703,2024-01-06 00:00:00,2024-01-06 21:39:54,0,Ryccardo,b&b locanda Jole  via StreetComplete 55.1,2,0,Ryccardo,
4056180,San Marino,43.9361707,12.4477523,2024-01-06 00:00:00,2024-01-06 21:39:54,0,Ryccardo,"Unable to answer 'Do you need to pay to enter here?' for https://osm.org/node/1755318141 via StreetComplete 55.1:  Spostato, vedi altra nota",2,0,Ryccardo,
4056174,San Marino,43.9338620,12.4493173,2024-01-06 00:00:00,2024-01-06 21:39:53,0,Ryccardo,Giorgio Oikonomoi per la pace (statua di testa)  via StreetComplete 55.1,2,0,Ryccardo,
3128937,San Marino,43.9845528,12.5004572,2022-04-11 00:00:00,2023-10-19 13:36:52,0,Đuro Jiří,Qui c'è edificio da mappare  via StreetComplete 42.0,2,0,Đuro Jiří,
3823669,San Marino,43.9875400,12.5111800,2023-08-08 00:00:00,2023-10-17 23:52:03,0,z3ntu,This is actually a roundabout,2,0,ivanbranco,#added
3628109,San Marino,43.9340622,12.4493632,2023-04-05 00:00:00,2023-05-15 12:44:59,0,Pan Perníček,"Forwarding anonymous report from #Mapy.cz user, please verify: There's no ice rink.  https://www.openstreetmap.org/way/404771855",2,0,MaestroGlanz,changed to leisure=pitch
3675680,San Marino,43.9349580,12.4476710,2023-05-05 00:00:00,2023-05-15 12:43:38,0,MaestroGlanz,Statue  via StreetComplete 50.1  Attached photo(s): https://westnordost.de/p/146660.jpg,2,0,MaestroGlanz,
3675683,San Marino,43.9347894,12.4477615,2023-05-05 00:00:00,2023-05-15 12:43:35,0,MaestroGlanz,Statue  via StreetComplete 50.1  Attached photo(s): https://westnordost.de/p/146661.jpg,2,0,MaestroGlanz,
