note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4849652,The Bahamas,26.5378795,-78.7061536,2025-07-11 00:00:00,2026-01-02 19:17:22,0,Mateusz Konieczny,https://www.openstreetmap.org/node/1881799138/history  is Sawyers (shop=supermarket) closed all the time? Then almost certainly it should not be tagged as shop=supermarket  And if it is not always closed then opening_hours=closed is wrong  For closed shops that are vacant/rebuilt/etc tagging like disused:shop=supermarketwould be better,3,0,InsertUser,It has been a year now.  Closure made permanent in: https://www.openstreetmap.org/changeset/1767501772
5094073,The Bahamas,26.5299949,-78.6891572,2025-12-16 00:00:00,2025-12-26 15:09:27,0,InsertUser,These buildings all demolished  via StreetComplete_ee 61.1,2,0,InsertUser,
4467100,The Bahamas,25.2695400,-76.3148100,2024-10-06 00:00:00,2025-11-24 16:40:22,0,Unknown,Abandoned naval base,5,1,NeisReview,
5014008,The Bahamas,24.3220942,-76.5589480,2025-10-19 00:00:00,2025-10-21 08:30:59,0,m_p_13,airplane wreck  #OsmAnd,2,0,m_p_13,
5014050,The Bahamas,24.3266314,-76.5572979,2025-10-19 00:00:00,2025-10-21 08:27:45,0,m_p_13,The Aquarium  #OsmAnd,2,0,m_p_13,
4965129,The Bahamas,25.5536346,-76.7056961,2025-09-16 00:00:00,2025-09-28 09:39:45,0,m_p_13,Sapphire Blue Hole  #OsmAnd,2,0,m_p_13,
4946834,The Bahamas,25.1045227,-77.2313080,2025-09-04 00:00:00,2025-09-28 09:36:58,0,m_p_13,ruins  #OsmAnd,2,0,m_p_13,
4651000,The Bahamas,23.4704109,-75.7221508,2025-03-04 00:00:00,2025-08-24 00:43:40,0,Unknown,coordinte,2,0,InsertUser,
4406224,The Bahamas,25.7435253,-79.2867379,2024-08-27 00:00:00,2025-08-23 00:19:12,0,InsertUser,Is this a cemetery?,3,0,InsertUser,Thanks. I've added it with that name.
1204288,The Bahamas,26.5401404,-78.6636570,2017-11-12 00:00:00,2025-08-10 17:55:05,0,wayne8377,'Now Cathedral Blvd' POI name: East Settler's Way POI types: psurface-paved_good highway-secondary OSM data version: 2017-10-20T12:20:02Z  #mapsme,2,0,InsertUser,I've added this as alt_name as only one of the two nearby signs have this name.
4895532,The Bahamas,25.0320752,-77.3838060,2025-08-06 00:00:00,2025-08-09 07:16:09,0,LusaSM,'https://www.bahamaslocal.com/showlisting/18937/The_Neighbourhood_Doctor.html  https://www.nhibahamas.gov.bs/doctors/dr-estelle-laville/' OSM snapshot date: 2025-07-13T12:01:25Z POI name: The Neighbourhood Doctor POI types: amenity-clinic internet_access-wlan  #CoMaps android,2,0,map per,Thanks for contributing to OpenStreetMap!
4889920,The Bahamas,26.4960498,-78.6724996,2025-08-03 00:00:00,2025-08-03 22:50:51,0,InsertUser,Unable to answer 'Is this still here?' – Wall of Fame (Information Board) – https://osm.org/node/8595713377 via StreetComplete 61.2:  Knocked down to foundation,2,0,InsertUser,
3511394,The Bahamas,26.5158823,-78.6542750,2023-01-09 00:00:00,2025-08-03 22:50:51,0,InsertUser,Unable to answer 'How many levels above the basement does this building have?' for https://osm.org/way/666211878 via StreetComplete 50.2:  Partially demolished,2,0,InsertUser,
4889921,The Bahamas,26.5158934,-78.6543205,2025-08-03 00:00:00,2025-08-03 22:50:50,0,InsertUser,Ruins  via StreetComplete 61.2,2,0,InsertUser,
4889919,The Bahamas,26.5271498,-78.6370149,2025-08-03 00:00:00,2025-08-03 22:50:49,0,InsertUser,Glen way  via StreetComplete 61.2,2,0,InsertUser,
4877256,The Bahamas,26.5101913,-78.7335728,2025-07-26 00:00:00,2025-07-26 23:47:16,0,InsertUser,New solar plant  via StreetComplete 61.2,2,0,InsertUser,
4877257,The Bahamas,26.4958171,-78.7241844,2025-07-26 00:00:00,2025-07-26 23:47:15,0,InsertUser,Mack Town limit sign  via StreetComplete 61.2,2,0,InsertUser,
4877258,The Bahamas,26.4971236,-78.6883678,2025-07-26 00:00:00,2025-07-26 23:47:14,0,InsertUser,In context of overlay 'Addresses' – house number 13: House – https://osm.org/way/665707883 via StreetComplete 61.2:  Incorrect location,2,0,InsertUser,
4330758,The Bahamas,22.3488109,-75.7650516,2024-07-12 00:00:00,2025-07-23 03:45:09,0,Unknown,Mr. Beast Island,2,0,InsertUser,
