note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
1348923,Turks and Caicos Islands,21.5304398,-71.8970031,2018-04-04 00:00:00,2025-12-13 14:29:08,0,mambus,someone fix the mulitpolygon,6,1,dannmer,"no response, closing note"
4246622,Turks and Caicos Islands,21.8202000,-72.2866000,2024-05-15 00:00:00,2024-07-28 18:50:42,0,Unknown,Wheeland Settlement,2,0,DorneyLake123,already/since tagged
2718971,Turks and Caicos Islands,21.7948575,-72.1805530,2021-06-18 00:00:00,2024-07-28 18:47:06,0,Unknown,Danny Buoys,2,0,DorneyLake123,already/since tagged
3495932,Turks and Caicos Islands,21.7217322,-71.5527834,2022-12-29 00:00:00,2024-07-28 18:43:52,0,Ionisea,"'TCI is not a country, as you have marked it. it is an overseas territory and should be corrected.' OSM snapshot date: 2022-12-16T15:17:23Z POI name: Turks and Caicos Islands POI types: place-country  #organicmaps",2,0,DorneyLake123,"ISO_3166-1 defines Turks & Caicos Islands as a country   see: https://en.wikipedia.org/wiki/ISO_3166-1   further, it is part of the BOTs relation, so  this is only a contention with how Organic Maps defines a country (ie not an issue that can be fixed by a user)  see the BOTs relation: https://www.openstreetmap.org/relation/3969434"
3194240,Turks and Caicos Islands,21.4799871,-71.1439848,2022-05-25 00:00:00,2024-07-28 18:38:20,0,Unknown,Cockburn town Medical Centre,2,0,DorneyLake123,already/since tagged
3372683,Turks and Caicos Islands,21.8382567,-71.2689972,2022-09-25 00:00:00,2024-07-26 02:35:51,0,b-m-d,According to the ground-based standard of OSM this line shoud mention Great Britain Overseas Territory,2,0,DorneyLake123,the boundary is already part of the BOTs relation. therefore not a data issue but a rendering one.  relation:  https://www.openstreetmap.org/relation/3969434
3528302,Turks and Caicos Islands,21.7926182,-72.1769990,2023-01-23 00:00:00,2024-03-14 21:57:21,0,kcrk,crab food place,2,0,kcrk,
3785584,Turks and Caicos Islands,21.7776732,-72.2182115,2023-07-18 00:00:00,2024-03-14 21:54:22,0,kcrk,new building,2,0,kcrk,split into new places
3528301,Turks and Caicos Islands,21.7781609,-72.2555890,2023-01-23 00:00:00,2024-03-14 21:53:04,0,kcrk,DHL & Carolina clinic,2,0,kcrk,split into locations
2319125,Turks and Caicos Islands,21.7573997,-72.1811633,2020-08-23 00:00:00,2024-03-14 21:47:36,0,Unknown,Top Notch Villa,2,0,kcrk,added
2577072,Turks and Caicos Islands,21.8090889,-72.1399158,2021-03-13 00:00:00,2024-03-14 21:43:42,0,kcrk,moved,2,0,kcrk,seafood hub new location added
3071465,Turks and Caicos Islands,21.7998000,-72.1674800,2022-03-02 00:00:00,2024-03-08 17:16:40,0,Unknown,This is the location for Provo Water Company - not Proud Water,2,0,JohannesWülk,
2577073,Turks and Caicos Islands,21.7950971,-72.1762517,2021-03-13 00:00:00,2024-01-16 15:35:16,0,kcrk,dive provo,2,0,kcrk,moved to  saltmills
3876744,Turks and Caicos Islands,21.7961579,-72.1730137,2023-09-08 00:00:00,2024-01-16 15:13:17,0,kcrk,"wine shop, ho2 etc",4,1,Alex Cheminade,Wine Establishment
3495931,Turks and Caicos Islands,21.7217322,-71.5527834,2022-12-29 00:00:00,2023-10-24 07:04:37,0,Ionisea,"'tci is not a country, it is a territory of the UK. please change the indication' OSM snapshot date: 2022-12-16T15:17:23Z POI name: Turks and Caicos Islands POI types: place-country  #organicmaps",2,0,Mateusz Konieczny,duplicates https://www.openstreetmap.org/note/3495932
2540275,Turks and Caicos Islands,21.7908327,-72.1766143,2021-02-15 00:00:00,2023-10-14 13:17:27,0,Unknown,Banksi,2,0,confusedbuffalo,Not enough information to map anything
3143325,Turks and Caicos Islands,21.4376003,-71.1497247,2022-04-19 00:00:00,2023-10-14 13:17:22,0,aquadesmo,Waterloo,2,0,confusedbuffalo,Not enough information to map anything
3757108,Turks and Caicos Islands,21.7722127,-72.2582796,2023-06-29 00:00:00,2023-10-14 13:17:10,0,Unknown,Turks & caicos Island,2,0,confusedbuffalo,
3787270,Turks and Caicos Islands,21.8143829,-72.1550379,2023-07-18 00:00:00,2023-07-18 19:46:14,0,GrahamCaicos,Upper East Side Estates,4,1,GrahamCaicos,Villa development
2718414,Turks and Caicos Islands,21.7774348,-72.2265081,2021-06-18 00:00:00,2023-07-18 01:24:21,0,Unknown,Fortis head office,5,1,kcrk,Looks like this has already been added.
3071491,Turks and Caicos Islands,21.7768000,-72.2221400,2022-03-02 00:00:00,2023-07-18 01:23:29,0,Unknown,Digicel Office right here.,2,0,kcrk,"Not verifiable, seems to be wrong gps location"
2739438,Turks and Caicos Islands,21.7768671,-72.2597733,2021-07-03 00:00:00,2023-01-24 16:25:47,0,kcrk,delicious dishes,2,0,kcrk,
1643284,Turks and Caicos Islands,21.7767993,-72.2693392,2019-01-07 00:00:00,2023-01-24 16:12:53,0,klim,"'no road here! only fences. closed!' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: highway-residential OSM data version: 2018-12-13T07:12:02Z  #mapsme",2,0,kcrk,Road is clear and accesible.
2314533,Turks and Caicos Islands,21.7810285,-72.2391951,2020-08-19 00:00:00,2023-01-24 03:11:34,0,kcrk,This petrol station seems permanently closed,2,0,Sparks,
3071476,Turks and Caicos Islands,21.7772600,-72.2581000,2022-03-02 00:00:00,2023-01-24 03:11:33,0,Unknown,Turks & Caicos Post Office is right here,2,0,Sparks,Added.
2739443,Turks and Caicos Islands,21.7775636,-72.2596562,2021-07-03 00:00:00,2023-01-24 03:11:33,0,Unknown,sunset pharmacy,2,0,Sparks,Added
3071474,Turks and Caicos Islands,21.7762300,-72.2308900,2022-03-02 00:00:00,2023-01-24 03:11:33,0,Unknown,"It also does NOT connect to Turtle Creek, it's a Cul-De-Sac",2,0,Sparks,Fixed
3071482,Turks and Caicos Islands,21.7810000,-72.2391800,2022-03-02 00:00:00,2023-01-24 03:11:33,0,Unknown,It's not closed.  Open regular business hours.  Please note - not open on a Sunday.,2,0,Sparks,
1642916,Turks and Caicos Islands,21.7775654,-72.2590722,2019-01-07 00:00:00,2023-01-24 03:11:32,0,klim,"'not here anymore' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Post Office POI types: amenity-post_office OSM data version: 2018-12-13T07:12:02Z  #mapsme",2,0,Sparks,Removed POI
1328440,Turks and Caicos Islands,21.6524653,-72.4674940,2018-03-15 00:00:00,2023-01-24 03:11:32,0,mambus,is there really a runway?,2,0,Sparks,Removing runway as it doesn't appear to be there.
3071490,Turks and Caicos Islands,21.7773500,-72.2105000,2022-03-02 00:00:00,2022-10-24 19:48:59,0,Unknown,Digicel no longer at this location,2,0,Gervin Simmons,
2946869,Turks and Caicos Islands,21.7804800,-72.1983600,2021-11-23 00:00:00,2022-08-15 22:54:50,0,Unknown,Casa Isabel,2,0,sputinyk,
3143326,Turks and Caicos Islands,21.4932149,-71.1494029,2022-04-19 00:00:00,2022-04-19 22:52:46,0,aquadesmo,Cork Tree Beach,2,0,aquadesmo,
2622718,Turks and Caicos Islands,21.7780273,-72.2306550,2021-04-14 00:00:00,2022-04-15 11:44:27,0,Yatin Marpu,Its a 2 way highway,2,0,danieldegroot2,"It is already mapped as a two-way primary road consisting of two seperated two-lane one-way primary roads.  Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible all over the world and are meant for improvements and error corrections. Thanks."
1162146,Turks and Caicos Islands,21.7977180,-72.1517122,2017-10-04 00:00:00,2022-04-13 18:47:02,0,Luis36995,This OSM note is added as per the user feedback from Mapbox: Is the name of the road 'Mangrove Ave'? Can someone please confirm the same and update the map accordingly if yes?,2,0,PopeyePopcord,Added
2330697,Turks and Caicos Islands,21.7976978,-72.1515128,2020-08-31 00:00:00,2022-04-13 18:46:53,0,kcrk,Mangrove Avenue,2,0,PopeyePopcord,Added
3071472,Turks and Caicos Islands,21.7780700,-72.2366600,2022-03-02 00:00:00,2022-04-13 18:44:48,0,Unknown,"This road is Albacore Close, not Herring Close.",2,0,PopeyePopcord,Fixed
3071473,Turks and Caicos Islands,21.7776000,-72.2353200,2022-03-02 00:00:00,2022-04-13 18:44:39,0,Unknown,"This road is Albacore Close, not Herring Close",2,0,PopeyePopcord,Fixed
1297486,Turks and Caicos Islands,21.7895886,-72.1950637,2018-02-12 00:00:00,2021-05-04 18:52:49,0,Unknown,ITL,2,0,Yatin Marpu,Not accurate
1297487,Turks and Caicos Islands,21.7897813,-72.1946834,2018-02-12 00:00:00,2021-05-04 18:52:40,0,Unknown,KW,4,1,Yatin Marpu,Not accurate
2319151,Turks and Caicos Islands,21.7775987,-72.2300520,2020-08-23 00:00:00,2021-04-14 15:32:57,0,Unknown,Suzy Turn Roundabout,2,0,Yatin Marpu,Intersection between highway and local road
2330701,Turks and Caicos Islands,21.8019211,-72.1527336,2020-08-31 00:00:00,2021-02-15 18:04:06,0,kcrk,IBO corner shop,2,0,kcrk,
1540305,Turks and Caicos Islands,21.7931900,-72.2603200,2018-09-25 00:00:00,2020-02-13 14:03:37,0,Turks Head,Kalooki's Restaurant has moved to Grace Bay,4,1,freebeer,not mapped here
780981,Turks and Caicos Islands,21.7887561,-72.1933661,2016-11-13 00:00:00,2020-01-21 17:41:48,0,Nikolaos Saratzis,"The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. User comments: 'the restaurant closed' (OSM data version: 2016-09-19T14:38:03Z) #mapsme",2,0,Syl,Removed
1296447,Turks and Caicos Islands,21.7800481,-72.1603176,2018-02-11 00:00:00,2020-01-06 13:01:46,0,Unknown,Sea La Vie Retreat,2,0,runefloberghagen,
1244549,Turks and Caicos Islands,21.7883039,-72.1537185,2017-12-20 00:00:00,2020-01-06 12:56:33,0,runefloberghagen,Villa Esencia,4,1,runefloberghagen,villaesencia.com
1397113,Turks and Caicos Islands,21.7813170,-72.2611969,2018-05-17 00:00:00,2019-03-05 18:53:08,0,Islandseye,"'wrong address ' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: tourism-hotel OSM data version: 2018-04-17T05:20:02Z  #mapsme",2,0,Syl,Removed
