note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3766967,Barbados,13.0679665,-59.5678552,2023-07-05 00:00:00,2025-12-29 13:05:16,0,Dailah,'More of a field than playground' OSM snapshot date: 2023-06-02T17:16:21Z POI has no name POI types: leisure-playground  #organicmaps,2,0,Educated_Kruff,
4960056,Barbados,13.1764320,-59.5401451,2025-09-13 00:00:00,2025-12-25 02:14:06,0,Charles Herbert,GH1,2,0,Educated_Kruff,
4960057,Barbados,13.1744367,-59.5405662,2025-09-13 00:00:00,2025-12-25 02:08:35,0,Charles Herbert,GH2,2,0,Educated_Kruff,
4960058,Barbados,13.1739170,-59.5406467,2025-09-13 00:00:00,2025-12-25 02:08:32,0,Charles Herbert,GH3,2,0,Educated_Kruff,
5080048,Barbados,13.0811007,-59.5316774,2025-12-05 00:00:00,2025-12-24 17:53:34,0,Yorkshire Mapper,"are the egg seller and coconut seller here real physical things that should be mapped? Either way, the tourism tag feels wrong here",2,0,Educated_Kruff,"Yes, they are real. I see them when I usually take this road. They are temporary stalls or being sold from the trunk of their car."
4973181,Barbados,13.1256825,-59.5444685,2025-09-21 00:00:00,2025-12-24 17:51:15,0,Unknown,Good day with Barbados,2,0,Educated_Kruff,
993279,Barbados,13.0979644,-59.6199348,2017-05-12 00:00:00,2025-11-29 11:32:18,0,waveslasher,"Open every day, best = Fri & Sat",3,0,berndw,"found a little sign, opening_hours added"
5057693,Barbados,13.0964500,-59.6174470,2025-11-17 00:00:00,2025-11-29 11:28:45,0,berndw,Carlisle House,2,0,berndw,seen on site
3569475,Barbados,13.0960771,-59.6172738,2023-02-21 00:00:00,2025-11-29 11:28:35,0,PotatoBoi,"'Hasn't existed there for years.' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2022-12-16T15:17:23Z POI name: Cable & Wireless (Barbados) Limited - LIME Retail Store POI types: shop-mobile_phone  #organicmaps",3,0,berndw,changed after visit
4960060,Barbados,13.1744576,-59.5410892,2025-09-13 00:00:00,2025-09-14 11:55:23,0,Charles Herbert,GH4,2,0,Charles Herbert,
4960063,Barbados,13.1722194,-59.5406091,2025-09-13 00:00:00,2025-09-14 11:44:40,0,Charles Herbert,Tods Bottom,4,1,Charles Herbert,
4960065,Barbados,13.1749460,-59.5337534,2025-09-13 00:00:00,2025-09-14 11:43:33,0,Charles Herbert,Middle Pond,2,0,Charles Herbert,
4960062,Barbados,13.1761212,-59.5401692,2025-09-13 00:00:00,2025-09-14 08:01:33,0,Charles Herbert,N,2,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
4595285,Barbados,13.0843324,-59.5020385,2025-01-20 00:00:00,2025-07-20 22:44:16,0,POI Mapper,New building here with Zena & co hairdresser  via StreetComplete_ee 60.0  Attached photo(s): https://streetcomplete.app/p/257978.jpg,2,0,Educated_Kruff,
4597662,Barbados,13.0848015,-59.5024493,2025-01-22 00:00:00,2025-07-20 22:43:21,0,POI Mapper,"No road anymore, parking lot  via StreetComplete_ee 60.0  Attached photo(s): https://streetcomplete.app/p/258135.jpg",2,0,Educated_Kruff,
4596754,Barbados,13.0857772,-59.5021256,2025-01-21 00:00:00,2025-07-20 22:37:53,0,POI Mapper,Pond here  via StreetComplete_ee 60.0  Attached photo(s): https://streetcomplete.app/p/258091.jpg,2,0,Educated_Kruff,
4596753,Barbados,13.0863659,-59.5019733,2025-01-21 00:00:00,2025-07-20 22:36:19,0,POI Mapper,The building is the bus stop with the shelter  via StreetComplete_ee 60.0,2,0,Educated_Kruff,
