note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5105591,Grenada,12.0014320,-61.7380030,2025-12-26 00:00:00,2026-01-08 06:24:22,13,Cord Ulla,"'Rundwanderung 25.12.2025, etwa 1 h.' OSM snapshot date: 2025-12-17T16:47:22Z POI has no name POI types: highway-track  #CoMaps android 2025.12.19-11-Google",2,0,_Snowman_,
5099230,Grenada,12.0223164,-61.7718454,2025-12-20 00:00:00,2025-12-21 07:48:35,0,Cord Ulla,"This place does not exist: 'hier ist keine Bäckerei' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-09T01:54:54Z POI name: Sweetly Confectionaries POI types: building shop-bakery  #CoMaps android 2025.12.11-2-Google",2,0,map per,"Thanks, removed the bakery"
4913470,Grenada,12.0812205,-61.7497087,2025-08-16 00:00:00,2025-08-16 19:57:36,0,Unknown,"I'd be happy to help with brainstorming. What are you trying to brainstorm? Is it: - A creative project (e.g., story, art, music)? - A solution to a problem? - A business idea? - A personal goal or plan?  Share more details, and I'll help generate ideas and possibilities!I'd be happy to help with brainstorming. What are you trying to brainstorm? Is it: - A creative project (e.g., story, art, music)? - A solution to a problem? - A business idea? - A personal goal or plan?  Share more details, and I'll help generate ideas and possibilities!",2,0,cuzi,spam
4230330,Grenada,12.1214134,-61.6239836,2024-05-04 00:00:00,2024-06-10 20:35:18,0,Unknown,Door  Cgtghh,2,0,whammo,
1622250,Grenada,12.1081448,-61.7000771,2018-12-20 00:00:00,2024-05-28 16:16:33,0,Unknown,"Sehr geehrte Openstreetmap Mitwirkende, erst mal vielen Dank für die Bereitstellung der Kartendaten. Bei der Nachbearbeitung meines Karibikurlaubes, ist mir aufgefallen, dass die Höhenangabe des Mt. Qua Qua nicht stimmt. Es sind 721 m statt der angegebenen 565 m. Bei den OpentopoMap kann man das auch an den Höhenlinie ersehen. MfG Peter Köhler",2,0,redrace,done
3599410,Grenada,12.0957622,-61.6972897,2023-03-16 00:00:00,2024-05-28 16:12:29,0,redrace,path gpx track will follow,2,0,redrace,done
3599414,Grenada,12.0959679,-61.6968929,2023-03-16 00:00:00,2024-05-28 16:12:29,0,redrace,steps gpx track will follow,2,0,redrace,done
3599409,Grenada,12.0958816,-61.6970730,2023-03-16 00:00:00,2024-05-28 16:12:29,0,redrace,no shelter !,4,1,redrace,done
3444530,Grenada,12.0485000,-61.6678000,2022-11-16 00:00:00,2024-01-02 11:18:50,0,Unknown,This area is called Coals Gap.,2,0,whammo,Added
3444529,Grenada,12.0215700,-61.6940400,2022-11-16 00:00:00,2024-01-02 11:18:44,0,Unknown,This area is called Petite Esperance,2,0,whammo,Added
3444541,Grenada,12.0553000,-61.6492000,2022-11-16 00:00:00,2024-01-02 11:15:24,0,Unknown,This area should be listed as La Tante,2,0,whammo,Done
1396153,Grenada,12.2164603,-61.6338138,2018-05-17 00:00:00,2024-01-02 11:12:55,0,SpiceBoy26,'la fortune main road' POI has no name POI types: highway-unclassified OSM data version: 2018-04-17T05:20:02Z  #mapsme,2,0,whammo,Unclear note
3309920,Grenada,12.0579264,-61.7205517,2022-08-11 00:00:00,2024-01-02 11:12:28,0,erickdeoliveiraleal,Are the type and name correct?,2,0,whammo,Unclear note
3309921,Grenada,12.0588023,-61.7217013,2022-08-11 00:00:00,2024-01-02 11:12:21,0,erickdeoliveiraleal,Are the type and name correct?,2,0,whammo,Unclear note
3599411,Grenada,12.0960250,-61.6977357,2023-03-16 00:00:00,2024-01-02 11:11:54,0,redrace,path gpx track will follow,2,0,whammo,Path looks correct according to Strava heatmap
