note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4672977,Saint Lucia,13.9644671,-61.0227733,2025-03-20 00:00:00,2025-03-27 09:52:36,0,redrace,Hotel The Cove  #OsmAnd,2,0,redrace,erledigt
4672960,Saint Lucia,13.9651966,-61.0239919,2025-03-20 00:00:00,2025-03-27 09:52:36,0,redrace,Coco Cafe  #OsmAnd,2,0,redrace,erledigt
3407745,Saint Lucia,13.9643882,-61.0225296,2022-10-21 00:00:00,2025-03-27 09:52:35,0,TradewindsTravel,Zoetry Marigot Bay,2,0,redrace,
4683895,Saint Lucia,13.8546201,-61.0596106,2025-03-26 00:00:00,2025-03-27 09:24:42,0,redrace,Immigration Office ist here!  #OsmAnd,2,0,redrace,erledigt
3611494,Saint Lucia,13.8539797,-61.0593027,2023-03-24 00:00:00,2025-03-27 09:24:41,0,BPierrick,'1st floor' OSM snapshot date: 2022-12-16T15:17:23Z POI name: Inland Revenue Department POI types: office-government  #organicmaps,2,0,redrace,erledigt
4258174,Saint Lucia,14.0092400,-60.9892200,2024-05-21 00:00:00,2024-05-21 15:14:19,0,Tarsha,Casa Bella,2,0,Tarsha,
4158855,Saint Lucia,14.0145466,-60.9947017,2024-03-18 00:00:00,2024-03-18 22:11:50,0,hejlslu,Harry Edwards Jewelers,4,1,hejlslu,
4031958,Saint Lucia,13.8266203,-61.0624682,2023-12-17 00:00:00,2023-12-30 18:04:19,0,m_p_13,canopy swing bench and hammock on the platform,2,0,m_p_13,
4031962,Saint Lucia,13.8254307,-61.0628760,2023-12-17 00:00:00,2023-12-30 18:00:23,0,m_p_13,mirror ball sculpture,2,0,m_p_13,
3629255,Saint Lucia,13.8580897,-61.0590398,2023-04-06 00:00:00,2023-04-06 03:02:53,0,La Kaye Nou By SMO Wellness,La Kaye Nou  By SMO Wellness  SMO Wellness,3,1,La Kaye Nou By SMO Wellness,
3629254,Saint Lucia,13.8581352,-61.0594019,2023-04-06 00:00:00,2023-04-06 02:58:39,0,La Kaye Nou By SMO Wellness,SMO Wellness,2,0,La Kaye Nou By SMO Wellness,
3504472,Saint Lucia,13.7753000,-61.0430000,2023-01-04 00:00:00,2023-01-10 14:23:11,0,Unknown,reunion,2,0,user_17724595,
2771772,Saint Lucia,14.0336050,-60.9813281,2021-07-26 00:00:00,2022-09-12 14:41:53,0,BPierrick,rat island,2,0,Tom_Holland,Is tagged correctly
2702976,Saint Lucia,13.8173981,-61.0544462,2021-06-07 00:00:00,2022-09-12 14:41:52,0,BPierrick,Tet Paul trail office,2,0,Tom_Holland,Not clear what the note is referring to
2542170,Saint Lucia,14.0501149,-60.9679531,2021-02-17 00:00:00,2022-09-12 14:41:52,0,BPierrick,gas station does not exist anymore,2,0,Tom_Holland,Has been removed
3077369,Saint Lucia,13.8307625,-60.8977392,2022-03-06 00:00:00,2022-09-12 14:41:52,0,BPierrick,road name: Atlantic Drive,2,0,Tom_Holland,Updated
3275908,Saint Lucia,14.0144000,-60.9912000,2022-07-20 00:00:00,2022-09-12 14:41:52,0,Unknown,Francis Compton Building,2,0,Tom_Holland,Building is tagged
2702979,Saint Lucia,13.8721999,-61.0786950,2021-06-07 00:00:00,2022-09-12 14:41:51,0,BPierrick,this is all beach with cliffs from Anse mamin to see jambon,2,0,Tom_Holland,"Not clear from the current orthos, will have to wait until we have better data."
2542168,Saint Lucia,13.9031885,-61.0664104,2021-02-17 00:00:00,2022-09-12 14:41:51,0,BPierrick,football field ⚽,2,0,Tom_Holland,Map has correct data
