note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5120282,Jamaica,17.8485516,-76.8926239,2026-01-06 00:00:00,2026-01-07 15:57:36,1,Unknown,Vamos,2,0,NeisReview,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
5030616,Jamaica,18.1634490,-77.4249890,2025-10-31 00:00:00,2025-10-31 06:59:51,0,Unknown,Home,2,0,mavl,"Thank you for the note, but this building is already marked on OpenStreetMap."
4956352,Jamaica,17.9845000,-76.8022230,2025-09-10 00:00:00,2025-10-27 15:00:01,0,DebbieDemps,Starting Point For Arnette Gardens,2,0,JDJCHELP,No
4956344,Jamaica,17.9891732,-76.8041539,2025-09-10 00:00:00,2025-10-27 14:58:49,0,Unknown,Arnette Gardens,4,1,JDJCHELP,"Arnett Gardens is in Saint Andrew Parish, Jamaica. Arnett Gardens is situated nearby to the locality Avon Park, as well as near Torrington Park."
4896429,Jamaica,18.1731321,-76.3992101,2025-08-07 00:00:00,2025-08-07 04:08:54,0,Jamaica123,There is a missing business here called - ‘Portland Jamaica Horseback Riding & Watersports’ located right here on the old San San Golf Course.,3,1,Jamaica123,Add.
4850543,Jamaica,18.4014289,-77.1154690,2025-07-11 00:00:00,2025-07-31 09:52:11,0,Unknown,Ocho Rios jamaica,2,0,cuzi,no actionable information
4589871,Jamaica,18.0804880,-76.8004417,2025-01-15 00:00:00,2025-07-31 09:51:05,0,Unknown,Crime,2,0,cuzi,no actionable information
4810570,Jamaica,18.3093376,-76.9472337,2025-06-17 00:00:00,2025-07-31 09:50:52,0,Unknown,Land,2,0,cuzi,no actionable information
4769139,Jamaica,18.4764739,-77.6262007,2025-05-21 00:00:00,2025-05-21 07:30:04,0,Errorless,PROPERTY LOCATION,4,1,Errorless,
4673663,Jamaica,17.9552193,-76.6074944,2025-03-21 00:00:00,2025-05-11 00:01:16,0,Unknown,YALLAH RIVER,2,0,JDJCHELP,
4720725,Jamaica,18.4921975,-77.9230796,2025-04-21 00:00:00,2025-04-26 21:42:11,0,Unknown,"Authentic Jamaica Tours  Street Address 1: Sunset Blvd  City: Montego Bay  State: St. James  Zip Code: 876  Country: Jamaica  Business Phone Number: (844) 697-8687  Business Email Address: info@authenticjamaicatours.com  Website: https://authenticjamaicatours.com/  Description: Authentic Jamaica Tours is your gateway to discovering the heart and soul of Jamaica. Based in Montego Bay, this tour company offers immersive, private adventures led by experienced local guides. Each tour is designed to help travelers experience the island’s stunning landscapes, vibrant communities, and rich heritage—from hidden waterfalls to rural cultural gems. Whether you’re looking to explore the scenic coastline, venture deep into the rainforest, or enjoy authentic Jamaican cuisine, Authentic Jamaica Tours delivers unforgettable, tailor-made experiences that reflect the spirit of the island.",2,0,JDJCHELP,
3710374,Jamaica,17.8830571,-77.7645153,2023-05-29 00:00:00,2025-04-26 21:40:19,0,Unknown,One Loave Bakery,3,0,JDJCHELP,
4714534,Jamaica,18.1747205,-77.4922800,2025-04-17 00:00:00,2025-04-26 21:33:01,0,Unknown,"Christiana, Manchester",2,0,JDJCHELP,
4570014,Jamaica,18.0609990,-76.7158603,2024-12-31 00:00:00,2025-01-05 07:56:35,0,binemue,POI has no name POI types: tourism-guest_house internet_access-wlan OSM data version: 2024-10-09T17:32:19Z  #mapsme,3,0,pitscheplatsch,#duplicate
4570013,Jamaica,18.0609990,-76.7158603,2024-12-31 00:00:00,2025-01-05 07:56:23,0,binemue,'Blue Mount View' POI name: Blue Mount View POI types: tourism-guest_house internet_access-wlan OSM data version: 2024-10-09T17:32:19Z  #mapsme,3,0,pitscheplatsch,#mapped
4570015,Jamaica,18.0609990,-76.7158603,2024-12-31 00:00:00,2025-01-05 07:56:15,0,binemue,'BlueMountView Guesthouse' POI name: BlueMountView Guesthouse POI types: tourism-guest_house internet_access-wlan OSM data version: 2024-10-09T17:32:19Z  #mapsme,3,0,pitscheplatsch,#mapped
4570012,Jamaica,18.0609990,-76.7158603,2024-12-31 00:00:00,2025-01-05 07:56:11,0,binemue,'Gästehaus' POI name: Gästehaus POI types: tourism-guest_house internet_access-wlan OSM data version: 2024-10-09T17:32:19Z  #mapsme,3,0,pitscheplatsch,#mapped
3779986,Jamaica,18.1086000,-77.2547000,2023-07-14 00:00:00,2024-11-29 20:50:03,0,Angela Gibson,Mullett Hall of the Coxswain District of Clarendon parish in Jamaica is at this place.  See eLandjamaica parcels or Land Valuation numbers 14701007003 or 14701007018 for example,2,0,SpyCrab,out of date
3171102,Jamaica,17.8498663,-77.1652275,2022-05-08 00:00:00,2024-11-29 20:49:09,0,ivanbranco,is this 'Breadnut Gully'?  https://www.wikidata.org/wiki/Q55575567,4,1,SpyCrab,no feature on sat
4293577,Jamaica,17.9562808,-77.2251320,2024-06-16 00:00:00,2024-11-29 20:47:48,0,Shane_Morgan96,Home 🏠,2,0,SpyCrab,added (i think)
4251061,Jamaica,17.9299798,-77.1045104,2024-05-17 00:00:00,2024-11-29 20:46:44,0,Romandomdwalters,"This is where my stolen Starlink Dish is located, A kenisha Lee signed for my package",4,1,SpyCrab,
4266278,Jamaica,17.9626039,-76.8884360,2024-05-26 00:00:00,2024-11-29 20:44:51,0,CSOD Lewis,Naggo Head Primary Entrance  via StreetComplete 57.3,2,0,SpyCrab,added
4204691,Jamaica,18.0130819,-76.8265638,2024-04-18 00:00:00,2024-11-29 20:43:40,0,Unknown,I live at 20 yacca ave Kingston 11,2,0,SpyCrab,
4016732,Jamaica,18.0462362,-76.7894554,2023-12-06 00:00:00,2024-11-29 20:42:35,0,Unknown,Olivier Road,2,0,SpyCrab,added
3905011,Jamaica,18.0377750,-76.7952499,2023-09-23 00:00:00,2024-11-29 20:42:13,0,freebeer,this looks like a personal bookmark of travel plans and points to nothing mapped,2,0,SpyCrab,fixed
4272164,Jamaica,17.9663596,-76.7942725,2024-05-30 00:00:00,2024-11-29 20:40:50,0,CSOD Lewis,Open trench  same on other side  via StreetComplete 57.3  Attached photo(s): https://westnordost.de/p/215824.jpg,2,0,SpyCrab,
4272165,Jamaica,17.9664529,-76.7943193,2024-05-30 00:00:00,2024-11-29 20:40:31,0,CSOD Lewis,Entrance  via StreetComplete 57.3,2,0,SpyCrab,
4272169,Jamaica,17.9667164,-76.7943067,2024-05-30 00:00:00,2024-11-29 20:40:22,0,CSOD Lewis,Bashco entrance  via StreetComplete 57.3,2,0,SpyCrab,
4272170,Jamaica,17.9670115,-76.7943082,2024-05-30 00:00:00,2024-11-29 20:40:14,0,CSOD Lewis,Pings  via StreetComplete 57.3,2,0,SpyCrab,
4272173,Jamaica,17.9670564,-76.7942964,2024-05-30 00:00:00,2024-11-29 20:40:10,0,CSOD Lewis,Pharmacy  via StreetComplete 57.3,2,0,SpyCrab,
4272175,Jamaica,17.9673544,-76.7942926,2024-05-30 00:00:00,2024-11-29 20:40:06,0,CSOD Lewis,Entrance dp magic  via StreetComplete 57.3,2,0,SpyCrab,
4272179,Jamaica,17.9674185,-76.7942716,2024-05-30 00:00:00,2024-11-29 20:40:02,0,CSOD Lewis,Variety store and wholesale entrance  via StreetComplete 57.3,2,0,SpyCrab,
4272186,Jamaica,17.9675365,-76.7942607,2024-05-30 00:00:00,2024-11-29 20:39:58,0,CSOD Lewis,Ramps on both sides  via StreetComplete 57.3  Attached photo(s): https://westnordost.de/p/215826.jpg,2,0,SpyCrab,
4272183,Jamaica,17.9675515,-76.7942431,2024-05-30 00:00:00,2024-11-29 20:39:43,0,CSOD Lewis,Jixiang wholesale entrance  via StreetComplete 57.3,2,0,SpyCrab,
4272189,Jamaica,17.9676990,-76.7942163,2024-05-30 00:00:00,2024-11-29 20:39:30,0,CSOD Lewis,Lisa's entrance.  On left. And bonnilou on right  via StreetComplete 57.3,2,0,SpyCrab,
4272191,Jamaica,17.9677741,-76.7942200,2024-05-30 00:00:00,2024-11-29 20:39:27,0,CSOD Lewis,New attraction wholesale entrance  via StreetComplete 57.3,2,0,SpyCrab,
4272196,Jamaica,17.9678307,-76.7942284,2024-05-30 00:00:00,2024-11-29 20:39:21,0,CSOD Lewis,Family collection entrance  and D world on right  via StreetComplete 57.3,2,0,SpyCrab,
4272197,Jamaica,17.9678371,-76.7941909,2024-05-30 00:00:00,2024-11-29 20:39:17,0,CSOD Lewis,Rock land  via StreetComplete 57.3,2,0,SpyCrab,
4272198,Jamaica,17.9680433,-76.7942172,2024-05-30 00:00:00,2024-11-29 20:39:09,0,CSOD Lewis,Nicklaus entrance and trading company Ltd on right  via StreetComplete 57.3,2,0,SpyCrab,
4272202,Jamaica,17.9684870,-76.7942101,2024-05-30 00:00:00,2024-11-29 20:38:53,0,CSOD Lewis,No Ramps on all 4 sides  via StreetComplete 57.3,2,0,SpyCrab,
4272204,Jamaica,17.9688348,-76.7941257,2024-05-30 00:00:00,2024-11-29 20:38:43,0,CSOD Lewis,Quality entrance and A's trendy fashion on right.  via StreetComplete 57.3,2,0,SpyCrab,added
4272210,Jamaica,17.9693945,-76.7940298,2024-05-30 00:00:00,2024-11-29 20:38:28,0,CSOD Lewis,Road trench  via StreetComplete 57.3  Attached photo(s): https://westnordost.de/p/215830.jpg,2,0,SpyCrab,added
4272232,Jamaica,17.9702418,-76.7939228,2024-05-30 00:00:00,2024-11-29 20:35:17,0,CSOD Lewis,Ramps on both sides  via StreetComplete 57.3,2,0,SpyCrab,added
4272061,Jamaica,17.9685454,-76.7931905,2024-05-30 00:00:00,2024-11-29 20:34:33,0,CSOD Lewis,Iron bars  via StreetComplete 57.3,2,0,SpyCrab,
4272145,Jamaica,17.9686402,-76.7931501,2024-05-30 00:00:00,2024-11-29 20:34:28,0,CSOD Lewis,K mart entrance  via StreetComplete 57.3,2,0,SpyCrab,added
4272117,Jamaica,17.9692316,-76.7930323,2024-05-30 00:00:00,2024-11-29 20:34:12,0,CSOD Lewis,Iron  via StreetComplete 57.3  Attached photo(s): https://westnordost.de/p/215818.jpg,2,0,SpyCrab,recommend editing these in yourself. i dont mind doing it but i can see what these note are pointing to
4272123,Jamaica,17.9691321,-76.7930607,2024-05-30 00:00:00,2024-11-29 20:33:33,0,CSOD Lewis,Grand jewellers  via StreetComplete 57.3,2,0,SpyCrab,
4272124,Jamaica,17.9691702,-76.7930769,2024-05-30 00:00:00,2024-11-29 20:33:29,0,CSOD Lewis,DP magic point appliance store  via StreetComplete 57.3,2,0,SpyCrab,
4272116,Jamaica,17.9692157,-76.7930541,2024-05-30 00:00:00,2024-11-29 20:33:12,0,CSOD Lewis,Flow  via StreetComplete 57.3,2,0,SpyCrab,
4272112,Jamaica,17.9693540,-76.7930224,2024-05-30 00:00:00,2024-11-29 20:32:59,0,CSOD Lewis,Tree  via StreetComplete 57.3,2,0,SpyCrab,i think the GPS is off or the images are misaligned
4272110,Jamaica,17.9694433,-76.7930372,2024-05-30 00:00:00,2024-11-29 20:32:30,0,CSOD Lewis,Woolworth entrance  via StreetComplete 57.3,2,0,SpyCrab,
4272108,Jamaica,17.9695809,-76.7930376,2024-05-30 00:00:00,2024-11-29 20:32:21,0,CSOD Lewis,KFC entrance  via StreetComplete 57.3,2,0,SpyCrab,
