note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5124738,New Zealand / Aotearoa,-36.8737540,174.6332837,2026-01-10 00:00:00,2026-01-17 00:23:11,7,Mountain6077,Cranwell park side trail by stream  via StreetComplete 62.1  Attached photo(s): https://streetcomplete.app/p/323490.jpg  GPS Trace: https://www.openstreetmap.org/user/Mountain6077/traces/12153104,2,0,ralley,Already mapped
5090545,New Zealand / Aotearoa,-44.8331781,168.3981647,2025-12-14 00:00:00,2026-01-16 11:56:07,33,ericliu1966,farm,2,0,❤️‍🔥,added
5113921,New Zealand / Aotearoa,-44.1071242,169.3530356,2026-01-02 00:00:00,2026-01-16 11:51:24,14,AJ Allchin,'unsure why it's called Sitzgelegent' OSM snapshot date: 2025-12-14T02:16:23Z POI name: Sitzgelegent POI types: amenity-bench  #organicmaps android 2025.12.16-16-Google,2,0,❤️‍🔥,"lol, sitzgelegenheit means 'seating oppertunity' in german. name removed"
5065606,New Zealand / Aotearoa,-36.8629598,174.8172831,2025-11-24 00:00:00,2026-01-16 11:30:58,53,lou1e,Bridge over very small stream (?) Mostly dry currently  via StreetComplete 57.1,2,0,❤️‍🔥,approximate location added
5065607,New Zealand / Aotearoa,-36.8630309,174.8170898,2025-11-24 00:00:00,2026-01-16 11:30:56,53,lou1e,Bridge  via StreetComplete 57.1,2,0,❤️‍🔥,approximate location added
5129725,New Zealand / Aotearoa,-36.8782180,174.8489624,2026-01-14 00:00:00,2026-01-16 11:27:02,2,myfanwy,mural on bldg west wall  #OsmAnd,2,0,❤️‍🔥,added building and mural
2751363,New Zealand / Aotearoa,-40.8779900,175.0644400,2021-07-12 00:00:00,2026-01-16 11:24:02,1649,steephills,Allure Skin & Laser,2,0,❤️‍🔥,has since changed to a new business which is mapped
4798288,New Zealand / Aotearoa,-40.8775630,175.0638880,2025-06-10 00:00:00,2026-01-16 11:23:24,220,AaronLCronin,Whakarongotai Marae,2,0,❤️‍🔥,added
3511497,New Zealand / Aotearoa,-44.8943473,168.0748148,2023-01-09 00:00:00,2026-01-16 11:20:44,1103,Peter Newman,Additional covered picnic tables and water tap around here  via StreetComplete 50.0,2,0,❤️‍🔥,added
2983617,New Zealand / Aotearoa,-40.8764828,175.0180358,2021-12-26 00:00:00,2026-01-16 11:18:26,1482,ivanbranco,change place value with a 'in use' one,2,0,❤️‍🔥,"deleted, it duplicates the boundaries"
2870858,New Zealand / Aotearoa,-41.2862521,174.9598123,2021-09-27 00:00:00,2026-01-16 11:17:08,1572,❤️‍🔥,deleted vegetation,2,0,❤️‍🔥,
2749867,New Zealand / Aotearoa,-41.2760365,174.9696991,2021-07-11 00:00:00,2026-01-16 11:17:04,1650,xoxRARITYxox,Community Water Station,2,0,❤️‍🔥,name added
