note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4975231,Kiribati,-4.7022692,-174.5270705,2025-09-22 00:00:00,2025-09-29 15:47:19,0,Unknown,Камчатка,3,0,pitscheplatsch,#misplaced
4959282,Kiribati,-3.6335217,-171.5213871,2025-09-13 00:00:00,2025-09-13 07:31:59,0,Unknown,https://osm.org/go/FWxUlDHMt-,3,0,pitscheplatsch,No actionable information was provided for editing OpenStreetMap data. Please feel free to reopen this note with more details. #noeditinfo
3957424,Kiribati,1.9817679,-157.4704099,2023-10-25 00:00:00,2025-06-24 22:22:32,0,Unknown,"Paris(?),Kiribati.",2,0,kiritimati_c7g,does not exist
4345158,Kiribati,1.3563871,172.9281741,2024-07-22 00:00:00,2025-05-22 03:52:51,0,Ewen Hill,"Hi, is this the Kava Haus area?  Perhaps add a point and make it a bar and if it has a building add that. If the footpath is not there, please amend or delete this.",2,0,QuigleyJones,
3422399,Kiribati,1.3623262,172.9327360,2022-10-31 00:00:00,2025-05-22 03:52:21,0,Awira,Recycling Facility  via StreetComplete 48.0,2,0,QuigleyJones,
1949216,Kiribati,1.3359221,173.0152568,2019-10-05 00:00:00,2025-05-22 03:51:55,0,nashnush,"'no longer exists' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Daotin's Chinese Restaurant POI types: building shop-hardware OSM data version: 2019-08-30T18:41:13Z  #mapsme",2,0,QuigleyJones,
3125308,Kiribati,-1.8091819,175.5541420,2022-04-09 00:00:00,2025-05-22 03:50:48,0,Unknown,Uroegriiegdi,2,0,QuigleyJones,
4596216,Kiribati,-4.4488053,-171.2485635,2025-01-21 00:00:00,2025-01-21 15:10:12,0,Unknown,semari jirauha 212106,3,0,pitscheplatsch,#misplaced
4592423,Kiribati,1.3640156,173.1140332,2025-01-18 00:00:00,2025-01-18 02:37:03,0,Rapnick14,Rap resident,4,1,Rapnick14,
4339459,Kiribati,1.3536400,172.9412700,2024-07-19 00:00:00,2024-07-19 00:23:27,0,Matarena,Karebwa's well station,4,1,Matarena,
3260766,Kiribati,1.3610609,172.9338062,2022-07-10 00:00:00,2023-10-23 18:47:16,0,RabitonScratch,Buildings in the water,2,0,confusedbuffalo,Looks like it has since been fixed
3803181,Kiribati,1.3569985,172.9345170,2023-07-28 00:00:00,2023-07-28 03:04:07,0,Kinta Eram,KUC Namonikeang Preschool,2,0,Kinta Eram,
