note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5109189,Viti,-17.4894256,177.2661753,2025-12-29 00:00:00,2025-12-29 07:45:09,0,datakid,'this building is hotel (resort) reception' OSM snapshot date: 2025-12-17T16:47:22Z POI has no name POI types: building  #CoMaps android 2025.12.19-11-Google,2,0,map per,"Thanks, added 'amenity=reception_desk'"
5109188,Viti,-17.4890974,177.2663882,2025-12-29 00:00:00,2025-12-29 07:42:52,0,datakid,'this is a bar' OSM snapshot date: 2025-12-17T16:47:22Z POI has no name POI types: building  #CoMaps android 2025.12.19-11-Google,2,0,map per,Thanks for adding the bar to OpenStreetMap!
5109187,Viti,-17.4893340,177.2662874,2025-12-29 00:00:00,2025-12-29 07:42:45,0,datakid,'Restaurant called The Reef' OSM snapshot date: 2025-12-17T16:47:22Z POI has no name POI types: building  #CoMaps android 2025.12.19-11-Google,2,0,map per,Thanks for adding the restaurant to OpenStreetMap!
5109186,Viti,-17.4880578,177.2597081,2025-12-29 00:00:00,2025-12-29 07:42:24,0,datakid,'venue is a bar/restaurant called The Rocks' OSM snapshot date: 2025-12-17T16:47:22Z POI has no name POI types: building  #CoMaps android 2025.12.19-11-Google,2,0,map per,Thanks for adding the restaurant to OpenStreetMap!
4993651,Viti,-18.7233228,-179.0911054,2025-10-06 00:00:00,2025-10-08 17:38:11,0,Unknown,Micah Bailey from St Albans owns this island and does some freaky things to little kids here secretly,2,0,NeisReview,The content of this note is #nonsense.
4968793,Viti,-17.7695484,177.4743032,2025-09-19 00:00:00,2025-09-19 12:30:53,0,AachalD,LUX Apartments,2,0,AachalD,
4956756,Viti,-16.6140430,178.8223390,2025-09-11 00:00:00,2025-09-11 06:54:57,0,Waqa_j,Sugarcane Farm,4,1,Waqa_j,
4928333,Viti,-17.6266800,177.5001000,2025-08-24 00:00:00,2025-08-25 06:22:38,0,Unknown,Solar Farm,3,0,Saraqia,
2655046,Viti,-17.6151511,177.4541838,2021-05-05 00:00:00,2025-08-24 23:23:43,0,DiveOC West,Confining area of Lautoka Hospital.,2,0,Saraqia,
1024436,Viti,-17.6281043,177.4578637,2017-06-09 00:00:00,2025-08-24 23:23:37,0,Joe Rauca,'Suli Saukawa' POI has no name POI types: amenity-shelter OSM data version: 2016-12-14T16:41:03Z  #mapsme,4,1,Saraqia,
2354258,Viti,-17.6279490,177.4339843,2020-09-19 00:00:00,2025-08-24 23:23:30,0,Unknown,AUTO PROFESSIONALS PTE LTD MECHANICAL | LUBE | PARTS | TYRE CTR,2,0,Saraqia,
307263,Viti,-17.6227750,177.4551201,2015-01-26 00:00:00,2025-08-24 23:22:38,0,Unknown,Cell 1 - Adman Street,4,1,Saraqia,
2753290,Viti,-17.6032151,177.4537949,2021-07-13 00:00:00,2025-08-24 23:22:28,0,Unknown,Paradise Exclusives Fiji Lautoka Shop,2,0,Saraqia,
757279,Viti,-17.6051742,177.4522418,2016-10-23 00:00:00,2025-08-24 23:22:24,0,Patrice Leguy 687,"Vêtements, souvenirs (OSM data version: 2016-09-19T14:38:03Z) #mapsme",2,0,Saraqia,
1518848,Viti,-17.6054392,177.4552533,2018-09-08 00:00:00,2025-08-24 23:22:19,0,Unknown,"onosm.org submitted note from a business: Name: Beena's Beauty Parlor Phone: +679 994 0079 Website:  Twitter: undefined Hours: Monday-Friday 9am to 5:30pm and Saturday 9am to 4pm Category: ,Beauty & Spas Address: yasawa street",2,0,Saraqia,
4850972,Viti,-16.5179796,179.1408402,2025-07-12 00:00:00,2025-07-13 02:50:52,0,Ansderer,Town isn’t showing up labelled from quite far out on the Standard and Tracestrack Topo layers,2,0,Ansderer,Fixed. Nevermind.
2854133,Viti,-17.6253101,177.4474005,2021-09-15 00:00:00,2025-07-10 23:55:25,0,Nikita Thoman,Ratu Meli Street,2,0,Ansderer,
4071762,Viti,-17.3788000,178.1548700,2024-01-16 00:00:00,2025-07-10 22:12:04,0,Tajtrdlik,"Forwarding anonymous report from #Mapy.cz user, please verify: 'There is located Rakiraki market'.",2,0,Ansderer,I can confirm when visiting this place does exist
1207429,Viti,-18.1513590,178.4408078,2017-11-16 00:00:00,2025-07-09 22:15:36,0,Davie Dean,Is there a speed bump or something similar here?,4,1,Davie Dean,Added traffic_calming=yes for someone to refine locally to close this note.
4614816,Viti,-18.0905172,178.4616121,2025-02-05 00:00:00,2025-07-03 12:52:42,0,soliMM,Our users indicate this street name is: 'Raibaba Road'. We cannot find any available sources to verify this information. Can any local mapper confirm this? #msftopenmaps,2,0,PulisakZ,
4707891,Viti,-18.2701232,-179.9779737,2025-04-12 00:00:00,2025-05-18 08:44:57,0,Unknown,भारत,3,0,NeisReview,
