note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3461376,Ṃajeḷ,7.0838792,171.3613611,2022-11-30 00:00:00,2025-05-22 03:54:21,0,Majuroshark,Atoll Properties,2,0,QuigleyJones,
1769793,Ṃajeḷ,7.0851900,171.3669700,2019-05-07 00:00:00,2024-01-14 21:10:47,0,Unknown,Marshall Islands Marine Resources Authority,2,0,Nordpfeil,added
305316,Ṃajeḷ,7.1027611,171.3769796,2015-01-22 00:00:00,2023-10-29 14:20:21,0,stitiml,Ministry of Internal Affairs: RMI Historic Preservation Office,4,0,Airiver,
1591098,Ṃajeḷ,7.0891853,171.3797021,2018-11-16 00:00:00,2023-10-14 13:12:56,0,MRhaym,KMI,2,0,confusedbuffalo,Not enough information to map anything
2370885,Ṃajeḷ,6.0369441,171.9981766,2020-10-02 00:00:00,2023-10-14 13:12:35,0,Unknown,Arno Atoll,2,0,confusedbuffalo,
3841692,Ṃajeḷ,6.0831551,171.7387748,2023-08-19 00:00:00,2023-10-14 13:12:03,0,Unknown,Mili,2,0,confusedbuffalo,
3663008,Ṃajeḷ,11.6283282,165.5457687,2023-04-27 00:00:00,2023-10-14 13:11:34,0,Unknown,Bikini Atoll,2,0,confusedbuffalo,
3661587,Ṃajeḷ,8.3122100,167.3766200,2023-04-26 00:00:00,2023-04-27 13:51:51,0,Unknown,it show me wrong coordinates even with the code is right and I checked so many times,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
3503038,Ṃajeḷ,9.8202000,169.2934000,2023-01-03 00:00:00,2023-01-03 15:13:25,0,Unknown,Highest point in the Marshall Islands,2,0,kvn07,
1837423,Ṃajeḷ,11.5937232,165.3653526,2019-07-08 00:00:00,2022-04-15 11:13:59,0,Unknown,Monarch HQ 'Castle Bravo',2,0,danieldegroot2,"This note may be a reference to 'Godzilla' or similar. Nothing is visible here on aerial imagery, except the ocean.  Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible all over the world and are meant for improvements and error corrections. Thanks."
274715,Ṃajeḷ,8.3121441,167.3808718,2014-11-23 00:00:00,2022-04-15 11:09:12,0,ted s,Is this real???,4,0,danieldegroot2,"Everything visible at the time of writing is visible on aerial imagery and looks ok. There is nothing at this exact location -no specific node/point of interest(PoI); it may have been, but if so has since been removed. The island itself has since been further detailed."
735260,Ṃajeḷ,7.0686857,171.2840545,2016-10-03 00:00:00,2022-04-15 10:47:12,0,Unknown,Trap #3,2,0,danieldegroot2,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible all over the world and are meant for improvements and error corrections. Thanks."
735261,Ṃajeḷ,7.0647569,171.2681222,2016-10-03 00:00:00,2022-04-15 10:47:09,0,Unknown,Trap#4,2,0,danieldegroot2,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible all over the world and are meant for improvements and error corrections. Thanks."
735267,Ṃajeḷ,7.0844115,171.3639200,2016-10-03 00:00:00,2022-04-15 10:47:05,0,Unknown,Trap#6,2,0,danieldegroot2,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible all over the world and are meant for improvements and error corrections. Thanks."
735268,Ṃajeḷ,7.0856891,171.3641131,2016-10-03 00:00:00,2022-04-15 10:47:02,0,Unknown,Trap#7,2,0,danieldegroot2,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible all over the world and are meant for improvements and error corrections. Thanks."
735262,Ṃajeḷ,7.0654809,171.2696457,2016-10-03 00:00:00,2022-04-15 10:46:57,0,Unknown,Trap#5,4,0,danieldegroot2,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible all over the world and are meant for improvements and error corrections. Thanks."
735258,Ṃajeḷ,7.0675571,171.2797523,2016-10-03 00:00:00,2022-04-15 10:46:51,0,Unknown,Trap#1,4,0,danieldegroot2,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible all over the world and are meant for improvements and error corrections. Thanks."
735259,Ṃajeḷ,7.0683450,171.2827778,2016-10-03 00:00:00,2022-04-15 10:46:47,0,Unknown,Trap #2,4,0,danieldegroot2,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible all over the world and are meant for improvements and error corrections. Thanks."
735271,Ṃajeḷ,7.0842944,171.3650358,2016-10-03 00:00:00,2022-04-15 10:46:40,0,Unknown,Trap#10,3,0,danieldegroot2,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible all over the world and are meant for improvements and error corrections. Thanks."
735270,Ṃajeḷ,7.0848055,171.3651538,2016-10-03 00:00:00,2022-04-15 10:46:37,0,Unknown,Trap#9,4,0,danieldegroot2,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible all over the world and are meant for improvements and error corrections. Thanks."
735269,Ṃajeḷ,7.0857637,171.3653147,2016-10-03 00:00:00,2022-04-15 10:46:29,0,Unknown,Trap#8,4,0,danieldegroot2,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible all over the world and are meant for improvements and error corrections. Thanks."
735266,Ṃajeḷ,7.1067323,171.3726908,2016-10-03 00:00:00,2022-04-15 10:46:24,0,Unknown,Trap#5,4,0,danieldegroot2,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible all over the world and are meant for improvements and error corrections. Thanks."
1010624,Ṃajeḷ,7.0847310,171.3665619,2017-05-28 00:00:00,2022-04-15 10:45:05,0,蔡明星,碼頭 (OSM data version: 2017-03-28T20:59:03Z) #mapsme,3,0,danieldegroot2,"There is no pier here on aerial imagery. 'Pier' may be referring to the general harbour area, be part of the street name, the note may be wrongly positioned, or otherwise.  Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible all over the world and are meant for improvements and error corrections. Thanks."
1585937,Ṃajeḷ,7.0845000,171.1454000,2018-11-09 00:00:00,2022-04-15 10:38:01,0,Unknown,2,2,0,danieldegroot2,"Feel free to provide meaningful information, otherwise this note does not contain anything to add to the map. Notes are publicly visible all over the world and are meant for improvements and error corrections. Thanks."
3068955,Ṃajeḷ,7.0915965,171.3787748,2022-03-01 00:00:00,2022-03-01 07:04:15,0,Unknown,Marshall Islands,2,0,kartonage,This note does not contain anything meaningful to add to the map.
3052932,Ṃajeḷ,9.0485246,167.7429485,2022-02-15 00:00:00,2022-02-15 19:34:11,0,DenisWASD,test,4,1,DenisWASD,
1971709,Ṃajeḷ,9.8268697,169.3071835,2019-10-23 00:00:00,2019-12-09 00:38:30,0,Unknown,23 OR 2019,2,0,freebeer,no info
1971728,Ṃajeḷ,14.6095366,168.9995230,2019-10-23 00:00:00,2019-12-09 00:37:51,0,Unknown,Bwdije,2,0,freebeer,on the map
1971735,Ṃajeḷ,14.6092985,168.9991424,2019-10-23 00:00:00,2019-12-09 00:37:27,0,Unknown,25 oron 2019 18+,2,0,freebeer,no info
1988157,Ṃajeḷ,11.2966519,166.8908504,2019-11-07 00:00:00,2019-11-08 15:29:35,0,Unknown,18+ Ноября 2019,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
1988158,Ṃajeḷ,11.2965929,166.8905693,2019-11-07 00:00:00,2019-11-08 15:29:31,0,Unknown,18+ марта 2020,2,0,mavl,This note does not contain a useful information for OpenStreetMap.
1276375,Ṃajeḷ,7.0908000,171.3828000,2018-01-22 00:00:00,2018-01-27 22:53:39,0,Unknown,Location of Marshal Island Fleet,2,0,ForstEK,"mapped, thnx!"
