note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
1737854,Micronesia,7.4474630,151.8880357,2019-04-07 00:00:00,2024-08-22 06:17:59,0,SamanthaH,Faculty House,4,1,187Acul,Fixed
3135882,Micronesia,10.0198000,139.7942555,2022-04-16 00:00:00,2024-05-12 16:27:25,0,Unknown,ΣΙΔΚΗΔΟΔ,4,0,pitscheplatsch,unclear
3541431,Micronesia,9.5493712,138.1287619,2023-02-02 00:00:00,2023-04-05 11:43:19,0,Unknown,Rumuuq Elementary School,2,0,Rps333,added
1094771,Micronesia,6.9580449,158.2124963,2017-08-07 00:00:00,2023-03-03 13:11:42,0,Daynard  Nayor,'Parking' POI has no name POI types: leisure-playground OSM data version: 2017-07-03T17:28:05Z  #mapsme,2,0,confusedbuffalo,Resolved with changeset https://www.openstreetmap.org/changeset/133253385 by noteSolver_plugin/0.5.0
2780038,Micronesia,7.4609000,151.8427000,2021-08-01 00:00:00,2023-03-03 13:10:40,0,Unknown,PTKK CHUUK AIRPOT,2,0,confusedbuffalo,Already mapped
2040852,Micronesia,9.5147882,138.1190014,2019-12-30 00:00:00,2023-03-03 13:10:14,0,Unknown,Gabe's Residence,2,0,confusedbuffalo,In the middle of a bay
1320615,Micronesia,7.4456988,151.8507607,2018-03-08 00:00:00,2023-03-03 13:09:17,0,Dimon Sheva,'plz mark it as a cave entrance' POI has no name POI types: tourism-attraction OSM data version: 2018-01-26T12:04:02Z  #mapsme,2,0,confusedbuffalo,Resolved with changeset https://www.openstreetmap.org/changeset/133253294 by noteSolver_plugin/0.5.0
3497187,Micronesia,9.5516618,138.1551361,2022-12-29 00:00:00,2023-03-03 13:05:19,0,Unknown,Яп,2,0,confusedbuffalo,Not clear what this means
1737856,Micronesia,7.4520096,151.8816429,2019-04-07 00:00:00,2022-12-17 02:36:46,0,SamanthaH,Akoyikoyi Charter School,2,0,wohnung058,edit by same user as note
3067867,Micronesia,9.5165046,138.1170809,2022-02-28 00:00:00,2022-06-27 18:38:40,0,souang,Bank of Guam,2,0,RabitonScratch,The Bank of Guam does seem to have a branch here: https://www.wheresmybank.com/branch-522154-bank-of-guam-yap-branch
1736376,Micronesia,6.9424600,158.1934500,2019-04-06 00:00:00,2019-04-06 09:23:01,0,Unknown,RJFM Store,2,0,xectms73,
1068142,Micronesia,7.3262881,151.5472984,2017-07-17 00:00:00,2019-01-22 17:22:58,0,Unknown,Netutu,2,0,johnny_1982,
1526039,Micronesia,7.4547214,151.8461124,2018-09-13 00:00:00,2019-01-12 13:49:46,0,wittli,"'This is not the summit of Tonachau.' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Tonachau POI types: natural-peak OSM data version: 2018-08-04T14:22:01Z  #mapsme",4,0,ent8r,Alright. Thank you for the detailed information! I corrected the peak with https://www.openstreetmap.org/changeset/66250954 The one at the location of the marker of the note is now deleted and the other one is now named Tonachau I rather did not modify the elevation because Wikipedia might also be wrong...
1646969,Micronesia,7.4493942,151.8561065,2019-01-11 00:00:00,2019-01-11 15:46:19,0,Unknown,test,3,0,ent8r,
1507690,Micronesia,6.9647233,158.2097231,2018-08-30 00:00:00,2018-11-01 10:35:07,0,wittli,"'Does not exist.' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Pohnpei Lidorkini Museum POI types: tourism-museum OSM data version: 2018-07-05T18:22:02Z  #mapsme",2,0,Syl,Duplicate note
678282,Micronesia,7.4471881,151.8870496,2016-08-19 00:00:00,2018-02-14 08:09:18,0,Jake kim,xavier higj school (OSM data version: 2016-08-08T15:45:02Z) #mapsme,4,0,ForstEK,"mapped,thnx!"
678252,Micronesia,7.4470739,151.8871566,2016-08-19 00:00:00,2018-02-14 08:09:17,0,Jake kim,Xavier high school,4,0,ForstEK,"mapped, thnx!"
1022427,Micronesia,7.4483477,151.8679833,2017-06-07 00:00:00,2017-06-09 14:26:24,0,Unknown,а,4,0,mavl,The note does not contain an useful information for OpenStreetMap.
512499,Micronesia,9.5769046,138.1690849,2016-02-14 00:00:00,2016-02-28 10:44:16,0,Dimitri_Junker,not for cars,2,0,Dimitri_Junker,Done
341278,Micronesia,7.4241313,151.8438396,2015-04-02 00:00:00,2015-05-01 23:02:42,0,wohnung058,culvert,2,0,wohnung058,own note closed
341279,Micronesia,7.4262697,151.8438766,2015-04-02 00:00:00,2015-05-01 23:02:28,0,wohnung058,road right,2,0,wohnung058,own note closed after verification
341280,Micronesia,7.4319306,151.8406426,2015-04-02 00:00:00,2015-04-02 20:36:16,0,wohnung058,church,2,0,wohnung058,own note resolved
73943,Micronesia,7.4304962,151.8382645,2013-11-14 00:00:00,2015-04-02 20:35:48,0,ozhiker2,"This school should not be in the sea, but I don't know where the proper location is.",2,0,wohnung058,resolved
73944,Micronesia,7.4296770,151.8372130,2013-11-14 00:00:00,2015-04-02 20:35:36,0,ozhiker2,"This church should not be in the sea, but I don't know where the proper location is.",2,0,wohnung058,resolved
341281,Micronesia,7.4555052,151.8428508,2015-04-02 00:00:00,2015-04-02 20:35:19,0,wohnung058,Anderson Field,2,0,wohnung058,own note resolved
73942,Micronesia,7.4394327,151.8357325,2013-11-14 00:00:00,2015-04-02 20:35:09,0,ozhiker2,"This school should not be in the sea, but I don't know where the proper location is.",2,0,wohnung058,resolved
341282,Micronesia,7.4441618,151.8408696,2015-04-02 00:00:00,2015-04-02 20:34:06,0,wohnung058,building demolished,2,0,wohnung058,own note resolved
341284,Micronesia,7.4558327,151.8421972,2015-04-02 00:00:00,2015-04-02 20:30:36,0,wohnung058,post office,2,0,wohnung058,own note resolved
341283,Micronesia,7.4578305,151.8425540,2015-04-02 00:00:00,2015-04-02 20:28:53,0,wohnung058,Lei-Side Restaurant,2,0,wohnung058,own note resolved
