note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
2794967,Belau,7.3348200,134.4579900,2021-08-10 00:00:00,2024-01-17 19:40:12,0,Unknown,Coastal Management Office (next building across Koror Rangers Central Dispatch Office)  Department of Conservation and Law Enforcement Office,2,0,Nordpfeil,
3713522,Belau,7.3671000,134.5447000,2023-05-30 00:00:00,2023-05-30 23:05:28,0,kincaide,1,2,0,kincaide,
1871041,Belau,7.3429068,134.4664899,2019-08-06 00:00:00,2023-03-07 20:03:29,0,Unknown,Jezrrae Wear 2 Admin / Electronics,2,0,ma-rt-in,dopple note https://www.openstreetmap.org/note/1871046
3067891,Belau,7.3417100,134.4742100,2022-02-28 00:00:00,2022-03-03 18:25:20,0,souang,Palau National Gymnasium,2,0,I-76,already mapped
3067899,Belau,7.4941400,134.6332100,2022-02-28 00:00:00,2022-02-28 01:36:25,0,souang,Bai Melekeok,2,0,souang,"Constructed in early 1990, this is the only bai standing at this site which has platforms for two more bai to the east."
3067898,Belau,7.4950100,134.6284900,2022-02-28 00:00:00,2022-02-28 01:33:53,0,souang,Olekull er a Techobei = Cemetery at Techobei,2,0,souang,Melekeok Community Cemetery established in the early 1900s during the imperialistic Japanese occupation in the Pacific. Reklai Frutoso Tellei is buried here.
3067896,Belau,7.3367100,134.4764100,2022-02-28 00:00:00,2022-02-28 01:26:24,0,souang,Belau National Museum,2,0,souang,Completed in 2004 in time for the 9th Festival of Pacific Arts.
3067883,Belau,7.3433600,134.4670800,2022-02-28 00:00:00,2022-02-28 01:17:20,0,souang,Palau Visitors Authority,2,0,souang,"Mailing Address and Telephone: P.O. Box 256, Koror, Republic of Palau 96940 Tel: (680) 488-2793/1930 Fax: (680) 488-1453  General Inquiries: General E-mail Address: pva@pristineparadisepalau.com"
3067860,Belau,7.3385700,134.4663100,2022-02-28 00:00:00,2022-02-28 01:14:09,0,souang,Palau International Coral Reef Center,2,0,souang,"Email:  picrc@picrc.org Call:  (680) 488-6950 Fax:  (680) 488-6951 Business Hours: 8am – 5pm (M-F)  P.O. Box 7086 Koror, Republic of Palau  96940"
2053566,Belau,7.3389937,134.4734823,2020-01-11 00:00:00,2022-02-28 01:11:50,0,m-prol,'Basketballplatz' POI has no name POI types: leisure-playground OSM data version: 2019-11-24T01:08:45Z  #mapsme,5,0,souang,Koror Elementary School open sided covered gymnasium with basketball court.
3067858,Belau,7.3432700,134.4681600,2022-02-28 00:00:00,2022-02-28 00:45:05,0,souang,Ngarachamayong Cultural Center,2,0,souang,Completed in 2004 with funding from Republic of China; Taiwan. Among the first uses of this center were performances in the summer of 2004 during the 9th Festival of Pacific Arts.
2125627,Belau,7.3005950,134.4859066,2020-03-20 00:00:00,2022-02-28 00:41:54,0,ZhannaL,'Blue Davil Beach' POI has no name POI types: amenity-shelter OSM data version: 2019-11-24T01:08:45Z  #mapsme,2,0,souang,Unofficially called 'Blue Devil Beach' after a small blue fish. Also Unofficially Called 'Lee Marvin Beach' after American actor Lee Marvin and a movie scene filmed here.
