note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4624761,Zona Econômica Exclusiva do Brasil,-34.6519560,-50.9846735,2025-02-12 00:00:00,2025-02-13 06:11:49,0,Unknown,Doop state,3,0,pitscheplatsch,No useful information for editing OSM data provided. #noeditinfo
3996123,Zona Econômica Exclusiva do Brasil,-23.8858400,-40.7811300,2023-11-21 00:00:00,2024-03-01 00:48:37,0,Unknown,marking,3,0,snoozingnewt,nothing there
2125356,Zona Econômica Exclusiva do Brasil,2.0450183,-28.7642026,2020-03-20 00:00:00,2022-12-11 04:45:43,0,Unknown,"onosm.org submitted note from a business: name: نسیم رایانه phone: 03152271800 website:  twitter: undefined hours:  category: ,IT Services & Computer Repair address:",2,0,AngocA,The note is not correctly positioned.  Nota resuelta. https://bit.ly/ONLatam Tg https://bit.ly/osm-nl #ONL  Gracias por contribuir en OSM.  Nosotros somos un grupo de voluntarios que resuelve notas.
3442368,Zona Econômica Exclusiva do Brasil,-0.3960000,-45.2475000,2022-11-14 00:00:00,2022-11-15 08:48:08,0,Unknown,De ce nu se poate deschide pagina direct în Google maps?,2,0,DressyPear4,
1943993,Zona Econômica Exclusiva do Brasil,-27.2787000,-47.5327000,2019-09-29 00:00:00,2022-03-27 13:33:15,0,Unknown,German submarine U-513 wreck site.  It can be added like a monument or same?  Remembered by Tutoya.,2,0,adrianojbr,Naufrágio mapeado.
2978387,Zona Econômica Exclusiva do Brasil,-1.4061088,-36.9140625,2021-12-21 00:00:00,2022-02-07 20:09:22,0,Unknown,onosm.org submitted note from a business: name: ABZAR DANESH phone: 01133368444 website: Danesh.hamed@ymail.com twitter:  facebook:  email:  hours:  category: Hardware Stores address:,2,0,kartonage,not here
2349155,Zona Econômica Exclusiva do Brasil,-4.5654736,-34.4531250,2020-09-15 00:00:00,2022-02-05 02:33:56,0,Unknown,onosm.org submitted note from a business: name: Compressor Sharabiyan Technik  phone: 00982636615453 website:  twitter: undefined hours:  category:  address:,2,0,MiLorde,
1738776,Zona Econômica Exclusiva do Brasil,-4.7940805,-30.2073819,2019-04-08 00:00:00,2022-02-05 02:32:47,0,Unknown,"onosm.org submitted note from a business: name: boostan hotel phone: 543-222-5000 website: http://www.hotelboostan.com twitter: undefined hours:  category: ,Hotels address:",3,0,MiLorde,
2930074,Zona Econômica Exclusiva do Brasil,-0.9374653,-28.2589281,2021-11-10 00:00:00,2021-11-10 07:01:54,0,Unknown,onosm.org submitted note from a business: name: دکتر گلناز صمدی phone: 09134049094 website: @DR.GOLNAZ.SAMADI twitter:  facebook:  email:  hours: روزهای زوج ساعات ۱۵ الی ۲۰ category: Doctor's Offices address: اصفهان سی و سه پل ابتدای چهارباغ بالا مجتمع کوثر,2,0,kartonage,not here
