note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
647080,Moldova,47.0026827,28.8135660,2016-07-28 00:00:00,2026-01-16 10:36:16,3459,FashonStudio,FashonSudio,8,1,Unknown,hz
5122147,Moldova,48.3612100,27.0818600,2026-01-08 00:00:00,2026-01-08 15:43:33,0,Unknown,Briceni (Prut nord),2,0,Unknown,
4871198,Moldova,46.6724940,29.0996020,2025-07-23 00:00:00,2026-01-05 14:19:05,166,Unknown,Cainari 121,2,0,Mihai Spătaru,
5005663,Moldova,46.6424980,28.4946942,2025-10-14 00:00:00,2026-01-05 14:17:44,83,Pan Perníček,"Forwarding anonymous report from #mapycom user, please verify: This is Iazu Cneazevcaa.  https://www.openstreetmap.org/way/25466562",2,0,Mihai Spătaru,
4871244,Moldova,46.7839990,29.0898710,2025-07-23 00:00:00,2026-01-05 14:16:25,166,Unknown,Varatic 105,2,0,Mihai Spătaru,
4916576,Moldova,46.9213576,28.9831412,2025-08-18 00:00:00,2026-01-05 14:16:03,140,RobinScout,"Unable to answer 'What are the opening hours here?' – Datario (Convenience Store) – https://osm.org/node/5597011724 via StreetComplete 61.2:  The market is part of the Vento petrol station (non-stop), I can't see any other market.  Attached photo(s): https://streetcomplete.app/p/299273.jpg",2,0,Mihai Spătaru,
4871236,Moldova,46.9160450,28.8713940,2025-07-23 00:00:00,2026-01-05 14:15:56,166,Unknown,Bacioi 36,2,0,Mihai Spătaru,
4883625,Moldova,46.9192990,28.9729430,2025-07-30 00:00:00,2026-01-05 14:15:51,159,Unknown,Furaje.MD,2,0,Mihai Spătaru,
4828066,Moldova,48.3643947,26.9337681,2025-06-27 00:00:00,2025-12-16 09:28:13,0,saintmaksym7,"'Нету' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-06-08T00:18:23Z POI name: MD 0050 POI types: historic-boundary_stone  #organicmaps android",2,0,Andrian Nicorici,
2319021,Moldova,48.2637736,26.8073630,2020-08-23 00:00:00,2025-12-16 09:27:55,0,VitalieS,"Family Market de pe str. Mihail Frunze, 1 din Lipcani s-a închis definitiv? Ce se află acum acolo?",4,1,Andrian Nicorici,
