note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5263361,Brasil,-20.7164000,-43.2398000,2026-04-24 00:00:00,2026-04-24 05:14:08,0,Unknown,Capela de Nossa Senhora do Carmo,2,0,Vaguinhovps,
5232740,Brasil,-22.7487476,-47.2828066,2026-04-03 00:00:00,2026-04-24 01:31:09,21,Unknown,EE Professora Maria Frizzarin,2,0,O Fim,incluso
4096711,Brasil,-22.9520805,-43.2835659,2024-02-02 00:00:00,2026-04-23 21:31:01,811,Magno_AS,in this location have a water dispenser,2,0,DressyPear4,Resolved with changeset https://www.openstreetmap.org/changeset/181738625 by noteSolver_plugin/0.5.0
4096714,Brasil,-22.9621800,-43.2888400,2024-02-02 00:00:00,2026-04-23 21:31:01,811,Magno_AS,in this location have bathrooms,2,0,DressyPear4,Resolved with changeset https://www.openstreetmap.org/changeset/181738625 by noteSolver_plugin/0.5.0
4096709,Brasil,-22.9561200,-43.2797400,2024-02-02 00:00:00,2026-04-23 21:31:00,811,Magno_AS,in this location have a water dispenser,2,0,DressyPear4,Resolved with changeset https://www.openstreetmap.org/changeset/181738625 by noteSolver_plugin/0.5.0
3859946,Brasil,-22.9518483,-43.2897002,2023-08-29 00:00:00,2026-04-23 21:30:59,968,Pan Perníček,"Forwarding anonymous report from #Mapy.cz user, please verify: There's a cave Gruta do Archer.",2,0,DressyPear4,Resolved with changeset https://www.openstreetmap.org/changeset/181738625 by noteSolver_plugin/0.5.0
4483925,Brasil,-22.9280033,-43.3402705,2024-10-18 00:00:00,2026-04-23 21:26:27,552,Unknown,Aqui há Condominios,2,0,DressyPear4,"Já mapeados, seria útil ter o nome"
4739568,Brasil,-22.4337004,-43.1105822,2025-05-03 00:00:00,2026-04-23 21:24:58,355,JM Bernardes,Correct name: Estrada das Pedras Brancas,2,0,DressyPear4,Resolved with changeset https://www.openstreetmap.org/changeset/181738475 by noteSolver_plugin/0.5.0
4746067,Brasil,-22.7927698,-43.2884288,2025-05-07 00:00:00,2026-04-23 21:24:02,351,Unknown,Unidade de Saúde da Família,2,0,DressyPear4,Resolved with changeset https://www.openstreetmap.org/changeset/181738443 by noteSolver_plugin/0.5.0
4911874,Brasil,-22.8922555,-44.2847934,2025-08-15 00:00:00,2026-04-23 21:22:11,251,Unknown,MATRÍCULA 2762038-7 ROTA 5913: 001,2,0,DressyPear4,Sem informação
3852633,Brasil,-22.7612566,-43.4606023,2023-08-25 00:00:00,2026-04-23 21:21:46,972,Luiz Cruz,Tem uma barbearia no número 633. Cruz Barba e Café. Que inclusive tem um plano de assinatura que você paga uma única vez e corta o cabelo quantas vezes quiser.,2,0,DressyPear4,Resolved with changeset https://www.openstreetmap.org/changeset/181738360 by noteSolver_plugin/0.5.0
5014396,Brasil,-22.7427517,-43.4547472,2025-10-20 00:00:00,2026-04-23 21:19:54,185,andreialuizafm,Condomínio Central Park,2,0,DressyPear4,https://www.openstreetmap.org/changeset/181738320
5057119,Brasil,-22.7323518,-41.9559503,2025-11-17 00:00:00,2026-04-23 21:14:41,157,Unknown,Mirante Ponta do Pai Vitória,2,0,DressyPear4,Já no mapa
5176605,Brasil,-22.8278883,-43.3530957,2026-02-22 00:00:00,2026-04-23 21:13:14,60,Petola Carneiro,'É 'Vitor' e não 'Victor'' OSM snapshot date: 2026-02-16T20:35:12Z POI name: Rua Victor Frond POI types: highway-residential  #organicmaps android 2026.02.18-5-FDroid,2,0,DressyPear4,https://www.openstreetmap.org/changeset/181685662
5262383,Brasil,-19.8911640,-44.0519680,2026-04-23 00:00:00,2026-04-23 21:03:21,0,Unknown,EXPERFRUT,2,0,DressyPear4,Resolved with changeset https://www.openstreetmap.org/changeset/181737859 by noteSolver_plugin/0.5.0
5263130,Brasil,-24.0067672,-46.4071807,2026-04-23 00:00:00,2026-04-23 21:01:58,0,JoanaRibeiro,"Adicionar Jade Romero | Estética e Beleza  Rua Mario Tamashiro, 47 Canto do Forte",2,0,DressyPear4,Resolved with changeset https://www.openstreetmap.org/changeset/181737815 by noteSolver_plugin/0.5.0
5159696,Brasil,-5.6551700,-48.0980200,2026-02-08 00:00:00,2026-04-23 20:32:26,74,Mantandon,Vila Madalena,4,1,DressyPear4,Resolved with changeset https://www.openstreetmap.org/changeset/181736998 by noteSolver_plugin/0.5.0
5253327,Brasil,-23.4094208,-46.6703349,2026-04-17 00:00:00,2026-04-23 20:25:25,6,EliTJr,"Gostaria que essa área da Basílica tivesse maior riqueza de detalhes, com as áreas construídas e o paisagismo do local.",2,0,DressyPear4,"Adicionei alguns detalhes, para mais (locais de estacionamento, vias de pedestres ou jardins) teria que ter uma imagem de alta definição do local. Se quiser se aventurar em mapeamento 3D https://wiki.openstreetmap.org/wiki/Simple_3D_Buildings https://community.openstreetmap.org/t/urban-eye-3d-josm-3d-viewer-plugin/133674"
