note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5262063,Россия,55.6783920,50.6849849,2026-04-23 00:00:00,2026-04-24 08:12:56,1,Глеб,убрать   #OsmAnd,2,0,Глеб,
5259390,Россия,55.1338688,61.6446948,2026-04-21 00:00:00,2026-04-24 08:03:21,3,Unknown,здание снесено,2,0,GPMapper,
5259365,Россия,55.1363047,61.4090914,2026-04-21 00:00:00,2026-04-24 07:57:28,3,ziegour,"The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2026-04-04T03:36:32Z POI name: Sputnik POI types: amenity-studio  #organicmaps ios 2026.04.16-49-ios",2,0,GPMapper,
5258833,Россия,55.1419665,61.4123020,2026-04-20 00:00:00,2026-04-24 07:57:24,4,ziegour,"The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2026-04-04T03:36:32Z POI name: Апрель POI types: amenity-pharmacy  #organicmaps ios 2026.04.16-49-ios",2,0,GPMapper,
5262042,Россия,55.6806528,49.8245091,2026-04-23 00:00:00,2026-04-24 07:52:35,1,Глеб,переход надземный  #OsmAnd,2,0,Глеб,
5262033,Россия,55.7112163,49.5475759,2026-04-23 00:00:00,2026-04-24 07:38:24,1,Глеб,переделали в надземный  #OsmAnd,2,0,Глеб,
5262853,Россия,55.7235048,49.4556303,2026-04-23 00:00:00,2026-04-24 07:05:57,1,Глеб,надземный  #OsmAnd,2,0,Глеб,
5262029,Россия,55.7232533,49.4548880,2026-04-23 00:00:00,2026-04-24 07:05:54,1,Глеб,переделали переход в надземный и убрали ограничения  #OsmAnd,2,0,Глеб,
5262691,Россия,52.5980951,33.7545490,2026-04-23 00:00:00,2026-04-24 06:34:11,1,Unknown,pos2,2,0,TrickyFoxy,useless
5262692,Россия,52.5929987,33.7552571,2026-04-23 00:00:00,2026-04-24 06:34:06,1,Unknown,gsm2,2,0,TrickyFoxy,useless
5263377,Россия,55.1056709,82.9838562,2026-04-24 00:00:00,2026-04-24 05:48:54,0,oo-O-oo,камера на скорость и ремень  #OsmAnd,2,0,oo-O-oo,
5263031,Россия,59.8300040,30.3214290,2026-04-23 00:00:00,2026-04-23 22:55:54,0,Unknown,Начальная точка,2,0,TrickyFoxy,useless
5263219,Россия,59.8328000,30.3932485,2026-04-23 00:00:00,2026-04-23 22:29:39,0,s777n,Киоска больше нет  via StreetComplete 63.0,2,0,s777n,Исправлено
5263220,Россия,59.8409008,30.4040591,2026-04-23 00:00:00,2026-04-23 22:29:39,0,s777n,Electric cabinet  via StreetComplete 63.0,2,0,s777n,Добавлено
5256618,Россия,43.5445632,39.7918662,2026-04-19 00:00:00,2026-04-23 19:58:53,4,PiaHurricane,"Здесь есть пешеходный мост и тропинка к нему, уже года 3",5,1,Calibrator,Виноват. Исправил.
5262507,Россия,46.3015343,44.2917496,2026-04-23 00:00:00,2026-04-23 17:39:00,0,Алексей210,"'.' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2026-04-04T03:36:32Z POI name: Конкорд POI types: building amenity-restaurant  #organicmaps android 2026.04.07-8-FDroid",2,0,Ruslan Fatih,
4560121,Россия,55.4450577,78.3351159,2024-12-22 00:00:00,2026-04-23 17:32:23,487,s777n,Перенести теги школы на территорию,2,0,s777n,Исправлено
4563101,Россия,53.2543684,86.2645921,2024-12-25 00:00:00,2026-04-23 17:10:43,484,s777n,Исправить имя почты,2,0,s777n,Исправлено
5223273,Россия,58.0062219,56.3045927,2026-03-28 00:00:00,2026-04-23 16:00:17,26,Александр Синявский,"Сквер отредактировал 28.03.2026 под чертёж для ремонта, который прошел в 2025 году. После появления актуального спутникового снимка необходимо проверить границы сквера и смещения объектов.",2,0,Unknown,
5236098,Россия,59.9746014,30.3997763,2026-04-05 00:00:00,2026-04-23 13:11:34,18,VerQua,"'The building was demolished' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2024-11-22T15:57:19Z POI has no name POI types: building  #organicmaps android 2026.03.12-2-FDroid",2,0,Константин Гам,
4574857,Россия,54.4665023,83.3671546,2025-01-03 00:00:00,2026-04-23 12:58:44,475,s777n,добавить территорию пожарной части,2,0,s777n,Добавлено
5193940,Россия,56.7737519,53.2250227,2026-03-07 00:00:00,2026-04-23 12:47:38,47,net123,водоём,2,0,s777n,Добавлено
5170683,Россия,56.7790169,53.2137811,2026-02-17 00:00:00,2026-04-23 12:46:35,65,net123,старица  #OsmAnd,2,0,s777n,Здесь тоже старица не была вырезана из scrub мультиполигона. Исправлено
5170682,Россия,56.7749033,53.2192626,2026-02-17 00:00:00,2026-04-23 12:42:02,65,net123,увеличить  #OsmAnd,3,0,s777n,Здесь тоже старица не была вырезана из scrub мультиполигона. Исправлено
5170681,Россия,56.7730091,53.2207946,2026-02-17 00:00:00,2026-04-23 12:32:42,65,net123,ещё старица  #OsmAnd,3,0,s777n,Здесь старица не была вырезана из scrub мультиполигона. Исправлено
5261555,Россия,55.5993200,49.4285090,2026-04-22 00:00:00,2026-04-23 11:57:01,1,Unknown,"Ресторан 'Дикий' Банкетный зал, конференц-зал, организация мероприятий.  Солнечная ул., 1Е, д. Кзыл-Иль",6,1,s777n,"Здравствуйте Para_Dajz. Вы закрыли заметку, но ничего не добавили. Пожалуйста не закрывайте необработанные заметки. Добавлено"
4714645,Россия,54.3028619,48.3849495,2025-04-17 00:00:00,2026-04-23 11:32:54,371,specotdel,"'Мусорка ликвидирована в 2019 г. и организована в другом месте' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2024-10-17T20:37:52Z POI has no name POI types: amenity-waste_disposal  #organicmaps ios",3,1,specotdel,
5248230,Россия,42.9852446,47.5120331,2026-04-13 00:00:00,2026-04-23 07:04:16,10,augxcgrwxo,In context of overlay 'Things' – Outdoor Fitness Station – https://osm.org/node/13727078149 via StreetComplete 63.0:  Шведская стенка,2,0,augxcgrwxo,уточнеил
5248231,Россия,42.9852670,47.5120052,2026-04-13 00:00:00,2026-04-23 07:04:09,10,augxcgrwxo,In context of overlay 'Things' – Changing Room – https://osm.org/node/13726971388 via StreetComplete 63.0:  Переодевалку здание сюда,2,0,augxcgrwxo,уточнил
5249801,Россия,42.8210575,47.6555619,2026-04-14 00:00:00,2026-04-23 06:56:17,9,augxcgrwxo,In context of overlay 'Things' – Vending Machine – https://osm.org/node/13729986350 via StreetComplete 63.0:  Energo vending  Attached photo(s): https://streetcomplete.app/p/338356.jpg,2,0,augxcgrwxo,added
5245530,Россия,42.9760475,47.5102270,2026-04-11 00:00:00,2026-04-23 06:47:38,12,augxcgrwxo,In context of overlay 'Buildings' – Building – https://osm.org/way/317909141 via StreetComplete 63.0:  Demolished,2,0,augxcgrwxo,уточнил
5245525,Россия,42.9756452,47.5108623,2026-04-11 00:00:00,2026-04-23 06:47:31,12,augxcgrwxo,In context of overlay 'Buildings' – house number 58: Building – https://osm.org/way/318195463 via StreetComplete 63.0:  Demolished,2,0,augxcgrwxo,уточнил
5261262,Россия,55.8702571,37.6586029,2026-04-22 00:00:00,2026-04-23 06:11:08,1,krukknight,'you tube: https://m.youtube.com/@zaokmk/videos' OSM snapshot date: 2026-04-04T03:36:32Z POI name: Вятушка POI types: shop-supermarket  #organicmaps android 2026.04.07-8-FDroid,2,0,literan,"2 года не обновляется, т.е. заброшен"
5260539,Россия,56.1204527,47.2499414,2026-04-22 00:00:00,2026-04-23 04:12:59,1,Corsa5,цепь  #OsmAnd,2,0,Corsa5,добавлено
5218942,Россия,48.9758696,140.2863784,2026-03-25 00:00:00,2026-04-22 21:45:09,28,Alex2121213,'без номера' OSM snapshot date: 2025-12-14T02:16:23Z POI has no name POI types: emergency-fire_hydrant  #organicmaps android 2026.03.11-12-Google,2,0,TrickyFoxy,
1177324,Россия,48.9656224,140.2853569,2017-10-17 00:00:00,2026-04-22 21:44:59,3109,Vovtyay,"'сделали зону отдыха' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI name: Тройка POI types: amenity-taxi OSM data version: 2017-09-17T07:13:02Z  #mapsme",2,0,TrickyFoxy,
5261667,Россия,55.8193321,37.7281447,2026-04-22 00:00:00,2026-04-22 20:02:45,0,Unknown,"строения снесены: 4-й проезд Подбельского: д.3, стр.3,4,6,7,8,9,13,16,17,18,22 https://archnadzor.ru/2024/10/21/sryili-vulkan/ https://yandex.ru/maps/213/moscow/?l=stv%2Csta&ll=37.729859%2C55.819542&panorama%5Bdirection%5D=69.001290%2C-8.667718&panorama%5Bfull%5D=true&panorama%5Bpoint%5D=37.727462%2C55.818912&panorama%5Bspan%5D=41.859993%2C17.774913&z=17.36",6,1,TrickyFoxy,Можно проще и надёжнее. В правом меню редактора есть кнопка «Настройки фонового изображения». Выберите там спутниковые снимки ESRI — они свежее и там зданий тоже нет.
