note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5263507,United Kingdom,51.5182100,-0.1280400,2026-04-24 00:00:00,2026-04-24 08:41:15,0,Unknown,Départ du frère,2,0,Unknown,
2960343,United Kingdom,52.5598855,-3.7484649,2021-12-05 00:00:00,2026-04-24 08:33:12,1601,SK53,Covered Reservoir???,2,0,Fgjgdrou,Appears so. Added to map.
5212782,United Kingdom,51.5891800,-1.6762100,2026-03-20 00:00:00,2026-04-24 08:27:45,35,Unknown,Large number of dangerous potholes here,3,0,Welshie,These potholes have been reported to Oxfordshire Council and are being investigated. Nothing to do here.
4676887,United Kingdom,52.3967773,-4.0474985,2025-03-22 00:00:00,2026-04-24 08:25:38,398,Alun,Unable to answer 'How does this road cross the barrier here?' – https://osm.org/node/7023609862 via StreetComplete 60.3:  There is no barrier. This looks like a damaged trace or something.,2,0,Fgjgdrou,Fixed by https://www.openstreetmap.org/changeset/163899448.
4865954,United Kingdom,50.8696640,-0.2461249,2025-07-20 00:00:00,2026-04-24 06:41:25,278,paulchen-panther,no public right of way  #OsmAnd,2,0,Paul Flo Williams,This is currently marked as private for all vehicles.
3406101,United Kingdom,50.8446818,-0.2536431,2022-10-19 00:00:00,2026-04-24 06:36:39,1283,Chazb1980’s,Wrong turn: This isn’t an exit off this section of dual carriageway.  App tells you to make a exit which is dangerous and impossible.,5,0,Paul Flo Williams,"Taking a look at the wiki and at similar instances elsewhere (with Overpass), it seems there is a consensus that a combination of three tags works: access=no (or private), highway=service, service=emergency_access.  In the absence of further information about the (misbehaving?) app, I'm going to close this as currently correct."
5163615,United Kingdom,50.2601520,-5.0563150,2026-02-11 00:00:00,2026-04-24 03:01:18,72,TheUKHighStreet,https://www.openstreetmap.org/way/1043447355 Is this an Allied Pharmacy now? https://www.nhs.uk/services/pharmacy/allied-pharmacy-truro/FAT06/contact-details-and-opening-times,4,1,TheOperaGhost,"This pharmacy is independent of THP, verified in person."
2684626,United Kingdom,50.2596008,-5.0523832,2021-05-25 00:00:00,2026-04-24 03:00:06,1795,Unknown,Abandoned here,3,0,TheOperaGhost,note appears to be meaningless.
4603947,United Kingdom,51.8370736,-0.2880156,2025-01-27 00:00:00,2026-04-23 21:52:21,451,Unknown,"New houses have been built here, but are not yet visible on aerial imagery",4,0,LordGarySugar,added
