note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4467960,Isle of Man,54.2226999,-4.6935922,2024-10-07 00:00:00,2026-01-17 11:22:01,467,dankarran,Paradise & Gell 24 - 30 Michael Street  https://www.paradiseandgell.com,2,0,Taktaal,added
5129090,Isle of Man,54.1738257,-4.4582605,2026-01-14 00:00:00,2026-01-14 19:07:43,0,Unknown,14 (Mapillary),2,0,dankarran,
5129088,Isle of Man,54.1735996,-4.4581345,2026-01-14 00:00:00,2026-01-14 19:07:33,0,Unknown,4 (Mapillary),2,0,dankarran,
5129086,Isle of Man,54.1739591,-4.4587165,2026-01-14 00:00:00,2026-01-14 19:07:19,0,Unknown,17 (Mapillary),2,0,dankarran,
5129083,Isle of Man,54.1733390,-4.4585314,2026-01-14 00:00:00,2026-01-14 18:46:18,0,Unknown,"43 (Mapillary, third from right)",2,0,dankarran,
5129079,Isle of Man,54.1735101,-4.4576088,2026-01-14 00:00:00,2026-01-14 18:45:17,0,Unknown,57 (Mapillary) 57 / Holly Cottage / IM3 1AZ (Land Reg),2,0,dankarran,
5129080,Isle of Man,54.1734191,-4.4580299,2026-01-14 00:00:00,2026-01-14 18:43:20,0,Unknown,May Cottage (Mapillary),2,0,dankarran,
5127897,Isle of Man,54.1592082,-4.4805926,2026-01-13 00:00:00,2026-01-13 19:32:13,0,Unknown,"All Seasons Guesthouse is 11 Clifton Terrace according to Land Registry transactions, with numbering up to number 14 (unsure if that is end of terrace).",2,0,dankarran,
5127916,Isle of Man,54.1595742,-4.4819927,2026-01-13 00:00:00,2026-01-13 19:31:07,0,Unknown,"Waverley Court is sheltered housing, main entrance on Laureston Ave, private parking between two buildings  https://www.douglas.gov.im/dcc-housing-stock/  https://www.mapillary.com/app/?lat=54.15982259997199&lng=-4.483046899972237&z=17&pKey=3827540694010962&x=0.6548445898839961&y=0.42349295024686545&zoom=0.3246753246753247&focus=photo",2,0,dankarran,
5127894,Isle of Man,54.1594894,-4.4810218,2026-01-13 00:00:00,2026-01-13 19:30:46,0,Unknown,"Marathon House is 2 Drury Terrace according to Land Registry transactions, suggesting 1-9 going northwards, with Clifton / 9 Drury Terrace at the northern end.",2,0,dankarran,
4950580,Isle of Man,54.0970223,-4.6748085,2025-09-07 00:00:00,2025-12-28 15:31:24,0,excollier,Duck Street,5,1,dankarran,
5105966,Isle of Man,54.1621199,-4.4862413,2025-12-26 00:00:00,2025-12-28 15:00:44,0,dankarran,1 Hildesley Road,2,0,dankarran,
4282836,Isle of Man,54.3365321,-4.3916774,2024-06-07 00:00:00,2025-12-04 15:23:55,0,dankarran,Planning application in the works for new housing development here and east of Royal Park  https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00744/B,3,0,dankarran,https://www.openstreetmap.org/way/1138725216
4192136,Isle of Man,54.1694280,-4.6360937,2024-04-10 00:00:00,2025-12-04 15:21:21,0,dankarran,Charging points somewhere near here https://charge.pod-point.com/address/foxdale-heritage-centre-gr05q,3,0,dankarran,
4247486,Isle of Man,54.1644597,-4.4677985,2024-05-15 00:00:00,2025-12-04 15:08:13,0,dankarran,Pod Point charger here somewhere?  https://charge.pod-point.com/address/queens-promenade-7zk54,2,0,dankarran,"Nothing obvious on new imagery, assuming it's the one just to the NE of here https://www.openstreetmap.org/node/10893563060"
5067415,Isle of Man,54.2239857,-4.6947858,2025-11-25 00:00:00,2025-11-25 20:58:56,0,dankarran,Check postcode - should be IM4 not IM9,3,0,dankarran,
4421825,Isle of Man,54.2263059,-4.3918137,2024-09-05 00:00:00,2025-11-14 10:38:23,0,dankarran,Is there a Manx street name here for Tent Street?,4,0,Maptapper,
4247475,Isle of Man,54.1702287,-4.4580218,2024-05-15 00:00:00,2025-11-08 13:09:48,0,dankarran,Pod Point charger here somewhere?  https://charge.pod-point.com/address/onchan-pleasure-park-dlgrx,2,0,dankarran,I think this probably refers to the one in the carpark on the east side of the park
4939623,Isle of Man,54.1442185,-4.4677808,2025-08-31 00:00:00,2025-10-22 13:55:32,0,Trantion,"Path not shown on the map. Bottom is concrete steps, then I paused, then grass slope. I stopped where it becomes overgrown.  via StreetComplete 61.3  GPS Trace: https://www.openstreetmap.org/user/Trantion/traces/12054521",2,0,dankarran,Added in https://www.openstreetmap.org/changeset/173629331
4799168,Isle of Man,54.1507485,-4.4829613,2025-06-10 00:00:00,2025-10-22 13:12:02,0,Unknown,Location of the problem reported.,3,0,dankarran,
4939796,Isle of Man,54.1464806,-4.4773004,2025-08-31 00:00:00,2025-10-22 13:10:37,0,Trantion,"Unable to answer 'Do these steps have a handrail?' – Gas Works Steps (Steps) – https://osm.org/way/38756272 via StreetComplete 61.3:  There is a handrail, but there are significant gaps",2,0,dankarran,I've updated it to add the handrail and a fixme to split into sections with/without handrail.
