note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
3900226,Éire / Ireland,53.3401122,-6.2781997,2023-09-21 00:00:00,2026-04-24 07:01:06,946,eggpi,"'This is now a bakery, which I'll add in a separate contribution.' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2023-08-14T02:00:17Z POI name: Liberties Fish & Chips POI types: cuisine-fish_and_chips amenity-fast_food  #organicmaps android",3,0,Pinipon,It's now well tagged as Bakeology.
4908731,Éire / Ireland,53.3380200,-6.2822500,2025-08-13 00:00:00,2026-04-24 03:47:36,254,Unknown,"Construction appears complete,  Liberties House or similar name",4,0,VictorIE,Fixed.  https://www.openstreetmap.org/way/1503250178/ https://www.openstreetmap.org/way/1285361127/
4532745,Éire / Ireland,53.3704750,-6.2607850,2024-11-25 00:00:00,2026-04-23 08:56:34,514,Unknown,Giant Sequoia,3,0,Oxeelix,Added in https://osm.org/changeset/181706752
4532629,Éire / Ireland,53.3714940,-6.2630920,2024-11-25 00:00:00,2026-04-23 08:56:27,514,Unknown,European Beech,3,0,Oxeelix,Added in https://osm.org/changeset/181706752
4532625,Éire / Ireland,53.3714410,-6.2627730,2024-11-25 00:00:00,2026-04-23 08:56:22,514,Unknown,Butterfly Bush,3,0,Oxeelix,Added in https://osm.org/changeset/181706752
4532622,Éire / Ireland,53.3711220,-6.2626420,2024-11-25 00:00:00,2026-04-23 08:56:17,514,Unknown,Wall Contoneaster,3,0,Oxeelix,Added in https://osm.org/changeset/181706752
4532649,Éire / Ireland,53.3718640,-6.2630810,2024-11-25 00:00:00,2026-04-23 08:56:12,514,Unknown,European Mountain Ash,3,0,Oxeelix,Added in https://osm.org/changeset/181706752
4532656,Éire / Ireland,53.3699840,-6.2610210,2024-11-25 00:00:00,2026-04-23 08:55:01,514,Unknown,Giant Sequoia,3,0,Oxeelix,
4532592,Éire / Ireland,53.3698630,-6.2624350,2024-11-25 00:00:00,2026-04-23 08:54:03,514,Unknown,Nettles,3,0,Oxeelix,
4532630,Éire / Ireland,53.3724070,-6.2652410,2024-11-25 00:00:00,2026-04-23 08:46:45,514,Unknown,Pot Marigold,3,0,Oxeelix,Closing note as nothing else to be added
4479193,Éire / Ireland,53.3712481,-6.2653059,2024-10-14 00:00:00,2026-04-23 08:46:26,556,Demail,Unable to answer 'What type of shop is this?' – Botanic Office Equipment (Shop (Unspecified Type)) – https://osm.org/node/1684595101 via StreetComplete 59.2:  Cash Register Supply,4,0,Oxeelix,Updated in https://www.openstreetmap.org/changeset/181706312
3941190,Éire / Ireland,53.3712851,-6.2652487,2023-10-15 00:00:00,2026-04-23 08:46:20,921,Own Oh,'other poi is more specific than this one. it only sells cash registers and their supplies' OSM snapshot date: 2023-09-20T00:34:57Z POI has no name POI types: building shop-stationery  #organicmaps android,2,0,Oxeelix,Updated in https://www.openstreetmap.org/changeset/181706312
5177159,Éire / Ireland,53.3605878,-6.2750520,2026-02-22 00:00:00,2026-04-23 08:31:20,60,d00blin,"Unable to answer 'Is this still here?' – Miss Euro (Erotic Store) – https://osm.org/way/1075585876 via StreetComplete 62.1:  place is doubled on map, there is only 'fineat dessert' here",2,0,Oxeelix,Updated tagging in https://www.openstreetmap.org/changeset/181705652
4502169,Éire / Ireland,53.3606328,-6.2746421,2024-10-31 00:00:00,2026-04-23 08:29:42,539,voidspacexyz,Unable to answer 'Is this still here?' – Sunshine – https://osm.org/node/6205757528 via StreetComplete 59.2:  There is no vacancy board either.,5,0,Oxeelix,Updated tagging in https://www.openstreetmap.org/changeset/181705573
