note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4587563,Latvija,56.5255067,27.3494983,2025-01-13 00:00:00,2026-01-17 18:15:25,369,Sanita18,Correct street address is 'Rūpnīcas iela 11',3,0,HellMap,"Everything here seems correct and no reply received, so closing."
5129999,Latvija,57.5463550,25.4082602,2026-01-15 00:00:00,2026-01-15 14:33:59,0,Unknown,Pēc kadastrs.lv kartes šis trijstūris tapis par privātīpašuma platību,2,0,HellMap,Pielabots.
5130010,Latvija,56.6023450,25.2493566,2026-01-15 00:00:00,2026-01-15 10:19:48,0,Mister_R2,split,2,0,Mister_R2,
4307413,Latvija,56.9286356,24.1868829,2024-06-25 00:00:00,2026-01-14 12:37:24,568,somehundred,Latvenergo testēšanas centrs,3,0,richlv,"Minēju no ortofoto un zemes robežām, iezīmēts. Veram ciet."
5127825,Latvija,57.0003077,24.1599043,2026-01-13 00:00:00,2026-01-13 18:22:00,0,maemolol,Unable to answer 'Is there a waste basket at this stop?' – Visbijas prospekts (Bus Stop) – https://osm.org/node/10563110705 via StreetComplete 62.1:  Bus stop doesn't exist.,2,0,HellMap,Removed
5126463,Latvija,56.9752432,24.2470850,2026-01-12 00:00:00,2026-01-13 12:10:48,1,HellMap,not here overgrown  #OsmAnd,2,0,HellMap,
5127325,Latvija,56.9638155,24.2394754,2026-01-13 00:00:00,2026-01-13 11:13:40,0,HellMap,"fence south of path, path hugs it  #OsmAnd",2,0,HellMap,
5127326,Latvija,56.9637995,24.2398908,2026-01-13 00:00:00,2026-01-13 11:13:20,0,HellMap,path  #OsmAnd,2,0,HellMap,
5127324,Latvija,56.9630617,24.2458046,2026-01-13 00:00:00,2026-01-13 11:13:08,0,HellMap,path  #OsmAnd,2,0,HellMap,
5126494,Latvija,56.9636721,24.2468201,2026-01-12 00:00:00,2026-01-13 11:12:55,1,HellMap,log   #OsmAnd,2,0,HellMap,
5126471,Latvija,56.9722684,24.2475339,2026-01-12 00:00:00,2026-01-13 11:12:42,1,HellMap,trash can  #OsmAnd,2,0,HellMap,
5126468,Latvija,56.9735339,24.2480950,2026-01-12 00:00:00,2026-01-13 11:12:38,1,HellMap,trash bin  #OsmAnd,2,0,HellMap,
5126466,Latvija,56.9743575,24.2483622,2026-01-12 00:00:00,2026-01-13 11:12:28,1,HellMap,trash bin   #OsmAnd,2,0,HellMap,
5126464,Latvija,56.9751373,24.2474412,2026-01-12 00:00:00,2026-01-13 11:09:31,1,HellMap,exposed culvert pipe  #OsmAnd,2,0,HellMap,
5127317,Latvija,56.9771933,24.2384609,2026-01-13 00:00:00,2026-01-13 11:08:46,0,HellMap,"picking table, grill  #OsmAnd",2,0,HellMap,
5126379,Latvija,56.9663941,24.2081856,2026-01-12 00:00:00,2026-01-13 11:08:21,1,HellMap,log removed   #OsmAnd,2,0,HellMap,
5126386,Latvija,56.9668612,24.2157831,2026-01-12 00:00:00,2026-01-13 11:08:17,1,HellMap,path  #OsmAnd,2,0,HellMap,
2308405,Latvija,57.1710369,24.8627594,2020-08-15 00:00:00,2026-01-12 17:26:01,1976,CCrep,'There's a pathway between the two paths here' POI has no name POI types: landuse-forest OSM data version: 2020-07-14T11:22:37Z  #mapsme,3,0,richlv,"Yeah, no 'two paths' nearby here. Does not seem to be actionable, closing."
4372665,Latvija,57.3259540,25.2961397,2024-08-08 00:00:00,2026-01-11 22:05:43,521,anarkiisto,Steps are blocked by car guard  via StreetComplete 58.0  Attached photo(s): https://westnordost.de/p/230709.jpg,2,0,HellMap,
4281488,Latvija,56.6983654,24.0494814,2024-06-06 00:00:00,2026-01-11 12:33:37,584,HellMap,Sidewalk to/from bus stop connecting to nearby road(s).,2,0,HellMap,
4281489,Latvija,56.6991676,24.0611471,2024-06-06 00:00:00,2026-01-11 12:31:14,584,HellMap,Sidewalk to/from bus stop connecting to nearby road(s).,2,0,HellMap,
4281490,Latvija,56.6992691,24.0686673,2024-06-06 00:00:00,2026-01-11 12:29:12,584,HellMap,Sidewalk to/from bus stop connecting to nearby road(s).,2,0,HellMap,
4281491,Latvija,56.6992069,24.0741617,2024-06-06 00:00:00,2026-01-11 12:28:06,584,HellMap,Sidewalk to/from bus stop continues connecting to nearby road(s).,2,0,HellMap,
4281492,Latvija,56.6972393,24.0836866,2024-06-06 00:00:00,2026-01-11 12:26:43,584,HellMap,Sidewalk to/from bus stop connecting to nearby road.,2,0,HellMap,
5058485,Latvija,57.0774583,24.1466926,2025-11-18 00:00:00,2026-01-09 11:01:29,52,HellMap,new tables  #OsmAnd,2,0,HellMap,
5064212,Latvija,56.9135106,24.0998410,2025-11-23 00:00:00,2026-01-09 10:31:05,47,HellMap,crossing extending to far   #OsmAnd,2,0,HellMap,
5068221,Latvija,56.9556179,24.1831542,2025-11-26 00:00:00,2026-01-09 10:28:09,44,HellMap,retag everything as private  #OsmAnd,2,0,HellMap,
5087189,Latvija,56.9326813,24.1708368,2025-12-11 00:00:00,2026-01-09 10:21:40,29,HellMap,Sidewalk,2,0,HellMap,
5105763,Latvija,56.9607843,24.4265105,2025-12-26 00:00:00,2026-01-09 10:18:51,14,HellMap,sidewalk extending a bit further  #OsmAnd,2,0,HellMap,
5105771,Latvija,56.9563347,24.2000662,2025-12-26 00:00:00,2026-01-09 10:10:09,14,HellMap,connection to parking  #OsmAnd,2,0,HellMap,
5058302,Latvija,56.9702885,24.1880794,2025-11-18 00:00:00,2026-01-09 09:53:30,52,HellMap,hump  #OsmAnd,2,0,HellMap,
5109175,Latvija,56.9700551,24.1883666,2025-12-29 00:00:00,2026-01-09 09:52:08,11,HellMap,minor ways  #OsmAnd,2,0,HellMap,
5109176,Latvija,56.9797439,24.1843426,2025-12-29 00:00:00,2026-01-09 09:51:03,11,HellMap,"construction, looks like car wash  #OsmAnd",2,0,HellMap,
4960653,Latvija,56.9467998,24.2400051,2025-09-13 00:00:00,2026-01-08 18:10:38,117,HellMap,path  #OsmAnd,2,0,HellMap,
4960285,Latvija,56.9481843,24.2425175,2025-09-13 00:00:00,2026-01-08 18:10:28,117,HellMap,road to here  #OsmAnd,2,0,HellMap,
4960284,Latvija,56.9479748,24.2421504,2025-09-13 00:00:00,2026-01-08 18:10:27,117,HellMap,no driveways no building  #OsmAnd,2,0,HellMap,
