note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4752822,Australia,-41.1827654,146.3223009,2025-05-11 00:00:00,2026-04-23 23:13:09,347,Rowan_AU,Survey required to determine unit numbers at 16 Lapthorne Close.,2,0,Andy_T_56,Updated
4752821,Australia,-41.1824382,146.3218102,2025-05-11 00:00:00,2026-04-23 23:11:51,347,Rowan_AU,Survey required to determine if this is 12A Lapthorne Close or if it is a different number or possibly just a shed.,2,0,Andy_T_56,Updated - 10A
4563513,Australia,-41.1831234,146.3185256,2024-12-26 00:00:00,2026-04-23 23:10:51,483,Rowan_AU,Survey required to determine unit numbers at 11 Forth Road.,2,0,Andy_T_56,Updated
4752824,Australia,-41.1796590,146.3233158,2025-05-11 00:00:00,2026-04-23 23:09:03,347,Rowan_AU,Survey required to determine unit numbers at 25 Jiloa Way.,4,0,Andy_T_56,updated
5205252,Australia,-41.1577837,146.2466979,2026-03-15 00:00:00,2026-04-23 23:07:32,39,GioActivist,'Book here: https://little-riva.resos.com/booking' OSM snapshot date: 2026-02-16T20:35:12Z POI name: Little Riva POI types: building amenity-cafe  #organicmaps ios 2026.02.18-4-ios,2,0,Andy_T_56,updated
5228555,Australia,-41.4573280,147.1419567,2026-04-01 00:00:00,2026-04-23 23:01:05,22,kgoetz,Camp kitchen  via StreetComplete 63.0  Attached photo(s): https://streetcomplete.app/p/335211.jpg,2,0,Andy_T_56,added
5228554,Australia,-41.4576264,147.1417615,2026-04-01 00:00:00,2026-04-23 22:59:57,22,kgoetz,Concrete path  via StreetComplete 63.0  GPS Trace: https://www.openstreetmap.org/user/kgoetz/traces/12269930,2,0,Andy_T_56,added
5228256,Australia,-41.4578023,147.1410054,2026-03-31 00:00:00,2026-04-23 22:58:58,23,kgoetz,Concrete path  via StreetComplete 63.0  GPS Trace: https://www.openstreetmap.org/user/kgoetz/traces/12269450,2,0,Andy_T_56,added
5228545,Australia,-41.4576038,147.1409126,2026-04-01 00:00:00,2026-04-23 22:57:55,22,kgoetz,Narrow concrete path  via StreetComplete 63.0  GPS Trace: https://www.openstreetmap.org/user/kgoetz/traces/12269924,2,0,Andy_T_56,added
5228257,Australia,-41.4577536,147.1412898,2026-03-31 00:00:00,2026-04-23 22:56:57,23,kgoetz,Concrete path  via StreetComplete 63.0  GPS Trace: https://www.openstreetmap.org/user/kgoetz/traces/12269451,2,0,Andy_T_56,added
5228552,Australia,-41.4576951,147.1416632,2026-04-01 00:00:00,2026-04-23 22:56:25,22,kgoetz,15 paved steps  via StreetComplete 63.0  Attached photo(s): https://streetcomplete.app/p/335210.jpg  GPS Trace: https://www.openstreetmap.org/user/kgoetz/traces/12269928,2,0,Andy_T_56,added
5228551,Australia,-41.4576645,147.1415421,2026-04-01 00:00:00,2026-04-23 22:55:49,22,kgoetz,Concrete path  via StreetComplete 63.0  GPS Trace: https://www.openstreetmap.org/user/kgoetz/traces/12269926,2,0,Andy_T_56,added
5239868,Australia,-41.5039422,147.0696749,2026-04-08 00:00:00,2026-04-23 22:52:51,15,kgoetz,Gravel drive  via StreetComplete 63.0  GPS Trace: https://www.openstreetmap.org/user/kgoetz/traces/12282157,2,0,Andy_T_56,updated
5239881,Australia,-41.5033441,147.0704123,2026-04-08 00:00:00,2026-04-23 22:49:18,15,kgoetz,"This area is just road, not playing are  via StreetComplete 63.0  Attached photo(s): https://streetcomplete.app/p/337001.jpg",2,0,Andy_T_56,ok
5239879,Australia,-41.5033618,147.0705412,2026-04-08 00:00:00,2026-04-23 22:49:00,15,kgoetz,Gravel road  via StreetComplete 63.0  GPS Trace: https://www.openstreetmap.org/user/kgoetz/traces/12282172,2,0,Andy_T_56,added
5238520,Australia,-41.5034020,147.0699706,2026-04-07 00:00:00,2026-04-23 22:47:54,16,kgoetz,This is a sort of picnic setup  via StreetComplete 63.0  Attached photo(s): https://streetcomplete.app/p/336770.jpg,2,0,Andy_T_56,added
5238524,Australia,-41.5039699,147.0702786,2026-04-07 00:00:00,2026-04-23 22:47:03,16,kgoetz,Bbq area  via StreetComplete 63.0  Attached photo(s): https://streetcomplete.app/p/336771.jpg,2,0,Andy_T_56,added
5239871,Australia,-41.5040082,147.0693739,2026-04-08 00:00:00,2026-04-23 22:44:26,15,kgoetz,Concrete path  via StreetComplete 63.0  GPS Trace: https://www.openstreetmap.org/user/kgoetz/traces/12282162,2,0,Andy_T_56,added
5239869,Australia,-41.5040683,147.0695187,2026-04-08 00:00:00,2026-04-23 22:43:48,15,kgoetz,Camp kitchen  via StreetComplete 63.0  Attached photo(s): https://streetcomplete.app/p/337000.jpg,2,0,Andy_T_56,added
5261970,Australia,-27.5103407,153.0321658,2026-04-23 00:00:00,2026-04-23 05:46:21,0,Davie Dean,In context of overlay 'Places' – HBT Business & Tax Professionals (Accountant Office) – https://osm.org/node/13754092537 via StreetComplete_ee 63.0:  Level 1,2,0,Davie Dean,
5261974,Australia,-27.5048266,153.0302371,2026-04-23 00:00:00,2026-04-23 05:46:20,0,Davie Dean,"Whole building is single apartment building, 14, roof shape not clear  via StreetComplete_ee 63.0",2,0,Davie Dean,
5261966,Australia,-33.8833100,151.2139300,2026-04-23 00:00:00,2026-04-23 04:24:21,0,Unknown,"High-Quality Strollers in Australia for Special Needs – Step Ahead Paediatrics  Choosing the right stroller in Australia can make everyday outings easier and more comfortable for children with mobility challenges. Step Ahead Paediatrics offers premium special needs strollers that combine safety, durability, and ergonomic design. These strollers are built to support proper posture, provide smooth maneuverability, and ensure maximum comfort for both children and caregivers. https://www.stepaheadpaediatrics.com.au/",2,0,Unknown,
