note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5131914,South Africa,-33.6357030,20.9625340,2026-01-16 00:00:00,2026-01-16 18:51:48,0,Unknown,Rocky Sands guest house,3,1,Unknown,
5128977,South Africa,-26.5068384,28.0556842,2026-01-14 00:00:00,2026-01-14 17:51:40,0,ne17sg,shed over line here  #OsmAnd,2,0,Firefishy,Thank you! Added.
5128975,South Africa,-25.7313909,26.7480588,2026-01-14 00:00:00,2026-01-14 17:50:02,0,ne17sg,2 tracks here - Klipbankfontein 'station'  #OsmAnd,2,0,Firefishy,"Awesome. Thank you. I have now added the detail, it will take a few days to appear."
5128978,South Africa,-30.9523689,23.8739986,2026-01-14 00:00:00,2026-01-14 17:27:38,0,ne17sg,Joen (station)  #OsmAnd,2,0,Firefishy,"Added more detail, including the passing line on west. Is it still in use? The halt was already mapped: https://www.openstreetmap.org/node/247327863"
5128980,South Africa,-31.4851457,23.1969487,2026-01-14 00:00:00,2026-01-14 17:21:28,0,ne17sg,track all in here  #OsmAnd,2,0,Firefishy,Already mapped. See: https://www.openrailwaymap.org/?style=standard&lat=-31.48043756474626&lon=23.201762437820435&zoom=16
5124196,South Africa,-34.0693311,18.7645020,2026-01-10 00:00:00,2026-01-10 14:43:12,0,David Swanepoel,'I am trying to add the name of this road - Tie Road' OSM snapshot date: 2026-01-06T21:33:01Z POI has no name POI types: building-address  #CoMaps android 2026.01.08-11-Google,2,0,map per,"Thanks, added the name to the road.   But please don't add made up addresses to OpenStreetMap. Instead please select the road, then press 'edit place' and then leave a note with the name of the road.  Thanks and best regards map per"
5121774,South Africa,-23.9109573,29.4510975,2026-01-08 00:00:00,2026-01-08 10:17:21,0,Ndamulelo,Platform B (TE4 TE5),3,1,Ndamulelo,
5120692,South Africa,-33.9517452,24.2889223,2026-01-07 00:00:00,2026-01-07 21:09:28,0,FlipsideZA,"This place does not exist: 'has moved across the street' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-12-27T02:09:53Z POI name: USave POI types: shop-supermarket  #CoMaps android 2025.12.28-2-FDroid",2,0,map per,"Thanks, marked the old location as vacant"
5117339,South Africa,-32.6014710,26.9242012,2026-01-04 00:00:00,2026-01-04 16:12:00,0,Unknown,Two bedroom comfortable cottage in a beautiful garden setting.,2,0,Unknown,
5116038,South Africa,-34.0608007,23.3795629,2026-01-03 00:00:00,2026-01-03 17:39:33,0,confusedbuffalo,"Duplicate POIs here, tags need moving from building to an outer way or to the node  #EveryDoor",2,0,5R-MFT,added all information to area
4661936,South Africa,-34.0400226,23.3699316,2025-03-12 00:00:00,2026-01-03 17:13:37,0,KaraRaki,Crossroad was changed to a roundabout,3,0,confusedbuffalo,
5114894,South Africa,-33.9695734,22.4638063,2026-01-02 00:00:00,2026-01-02 21:08:04,0,confusedbuffalo,"Road here, connecting to the steps  via StreetComplete 62.1",2,0,5R-MFT,"added highway=service, service=driveway"
5114930,South Africa,-25.3486610,31.1234760,2026-01-02 00:00:00,2026-01-02 20:20:30,0,Freddy Dube,Alliance Church Kabokweni,2,0,Freddy Dube,
5114749,South Africa,-33.4085141,22.5578668,2026-01-02 00:00:00,2026-01-02 17:06:27,0,confusedbuffalo,"In context of overlay 'Street lighting' – Pedestrian Street – https://osm.org/way/798221816 via StreetComplete 62.1:  Should be path or footway, not pedestrian street",2,0,5R-MFT,changed to footway
5112971,South Africa,-25.9469218,28.1861651,2026-01-01 00:00:00,2026-01-01 05:31:23,0,NevikNad,NRSC Sailling,2,0,NevikNad,
4387945,South Africa,-33.9044086,19.1107249,2024-08-17 00:00:00,2025-12-30 17:33:01,0,mmoya,'Its a wine tram station' OSM snapshot date: 2024-07-23T19:32:09Z POI has no name POI types: amenity-bus_station  #organicmaps android,3,0,confusedbuffalo,
5104886,South Africa,-33.9023440,18.4150400,2025-12-25 00:00:00,2025-12-26 07:12:57,0,Kumar Ghosh,"This place does not exist: 'Moved down the road' A CoMaps user reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2025-11-23T09:12:00Z POI name: Oranjezicht City Farm Market POI types: organic-yes amenity-marketplace  #CoMaps android 2025.12.19-11",2,0,map per,"Thanks, the market is in the new location now"
1210753,South Africa,-23.9410157,29.9425522,2017-11-19 00:00:00,2025-12-25 12:46:39,0,Tobias Seidel,"'not there' The place has gone or never existed. This is an auto-generated note from MAPS.ME application: a user reports a POI that is visible on a map (which can be outdated), but cannot be found on the ground. POI has no name POI types: amenity-atm OSM data version: 2017-10-20T12:20:02Z  #mapsme",2,0,Firefishy,Removed the ATM.
2451399,South Africa,-25.7188430,28.1897190,2020-12-04 00:00:00,2025-12-20 15:13:32,0,Unknown,SWC Tech,3,0,Waldo Lemmer,Marking as resolved since this person will likely not see my message.
3145849,South Africa,-25.7121525,28.2001317,2022-04-21 00:00:00,2025-12-20 15:06:03,0,Unknown,onosm.org submitted note from a business: name: Real Tree Trimming & Landscaping Naples phone: (239) 688-4779 website: https://www.realtreeteam.com/nearme/tree-service-naples-fl twitter: @RealTreeNaples facebook: https://www.facebook.com/RealTreeNaples email: naples@realtreeteam.com hours: 24 Hours category: Tree Services address: 660 8th St,2,0,Waldo Lemmer,> Real Tree Trimming & Landscaping Naples  This is not a business that one would routinely visit in person; I don't think we should add it.
4247565,South Africa,-25.6980261,28.2527771,2024-05-15 00:00:00,2025-12-20 15:02:49,0,Unknown,Biggest tree in waverley,2,0,Waldo Lemmer,I don't see it 🤷‍♂️  Closing since I can't seek clarification from an anonymous user.
5098019,South Africa,-25.7377384,28.2267271,2025-12-19 00:00:00,2025-12-20 07:45:51,0,Unknown,House,2,0,NeisReview,The element mentioned in this note has already been #mapped.
5096101,South Africa,-34.0299003,24.7698784,2025-12-18 00:00:00,2025-12-18 22:21:55,0,Unknown,Humansdorp,2,0,Firefishy,"Yes, it is on the map."
5096082,South Africa,-26.6703531,27.7988997,2025-12-18 00:00:00,2025-12-18 12:08:37,0,Frankdg290361,THursoct (Pty) Ltd,2,0,Frankdg290361,
5096084,South Africa,-26.6671318,27.7965850,2025-12-18 00:00:00,2025-12-18 12:07:53,0,Frankdg290361,Location: FD Enterprize,2,0,Frankdg290361,
