note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
4501920,Eswatini,-26.4824732,31.3124476,2024-10-31 00:00:00,2025-10-15 09:59:09,0,Isaac Witmer,"'this is a secondary school, not a university' OSM snapshot date: 2024-09-04T00:27:27Z POI name: University of Swaziland POI types: amenity-school  #organicmaps android",2,0,cehwitham,Corrected. The university is next door.
1568,Eswatini,-26.5243336,31.4771229,2013-05-05 00:00:00,2025-08-12 13:16:34,0,Gerhardus Geldenhuis,Ground truthing required for power lines. Bing imagery on May 2013 were not clear enough for accurate mapping.,5,1,Mateusz Konieczny - bot account,"Closing note as not containing report of mistakes in OSM data. Note text was ''  If you wanted to report problems with OSM data please open a more clear note.  See https://wiki.openstreetmap.org/wiki/Dev_Server_Account for how test notes can be created at a separate server.  Such notes for closure are found automatically, with all closures reviewed by human."
1567,Eswatini,-26.5607678,31.3293439,2013-05-05 00:00:00,2025-08-12 13:16:33,0,Gerhardus Geldenhuis,Ground truthing required to connect power lines,4,1,Mateusz Konieczny - bot account,"Closing note as not containing report of mistakes in OSM data. Note text was ''  If you wanted to report problems with OSM data please open a more clear note.  See https://wiki.openstreetmap.org/wiki/Dev_Server_Account for how test notes can be created at a separate server.  Such notes for closure are found automatically, with all closures reviewed by human."
4772105,Eswatini,-26.3181300,31.1356800,2025-05-23 00:00:00,2025-06-11 03:08:20,0,Neurotrip36,Can we move the Mbabane point from Mozambique to here?,2,0,Ansderer,
4458818,Eswatini,-26.5014000,31.3616300,2024-09-30 00:00:00,2025-05-15 17:38:38,0,Unknown,RFM Solar Farm,2,0,DressyPear4,Mapped
4150255,Eswatini,-26.5457338,31.1972344,2024-03-12 00:00:00,2024-03-12 15:19:32,0,William Lorentz,St Clements Farm Macadamia and Avocado Farm Pip's Peacefull BnB Cottage,4,1,William Lorentz,
210057,Eswatini,-26.3246255,31.1368956,2014-08-01 00:00:00,2023-10-18 17:00:31,0,Unknown,SMVAF,2,0,confusedbuffalo,Not clear what needs mapping
1851005,Eswatini,-25.9901403,31.9964806,2019-07-21 00:00:00,2023-10-18 17:00:11,0,Derek Duval,'Border Control - Lomahasha' POI has no name POI types: barrier-border_control OSM data version: 2019-06-21T10:47:15Z  #mapsme,2,0,confusedbuffalo,Already mapped
3256712,Eswatini,-26.4446000,31.5084000,2022-07-08 00:00:00,2023-06-04 07:38:17,0,Unknown,30 kilometres Manzini-Mbadlane Highway is fully operational since April 2022: https://twitter.com/i/web/status/1517166209829113856,2,0,Greg_Rose,already mapped
