note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
5262163,România,44.1770000,24.5023000,2026-04-23 00:00:00,2026-04-23 09:02:18,0,Unknown,note,2,0,one_electro_dan,
4432444,România,44.4975767,28.4261156,2024-09-12 00:00:00,2026-04-22 19:14:20,587,Cosmin1985,Road is closeb by a rain water road,2,0,Buraddo,
4432442,România,44.5071551,28.4309167,2024-09-12 00:00:00,2026-04-22 19:12:50,587,Cosmin1985,Road is closed on the left by a road barrier,2,0,Buraddo,
4396308,România,46.0537845,25.0914067,2024-08-22 00:00:00,2026-04-22 19:09:18,608,Ljuks,"Primary school without house number, nr 60 is the southern part of the merged buildings object  #EveryDoor",2,0,Buraddo,
4385898,România,45.7099291,24.0300715,2024-08-16 00:00:00,2026-04-22 19:08:17,614,Tuiui,"I could not see where this hiking trail ends, it probably leads down into the valley.",2,0,Buraddo,
3585258,România,45.1780882,25.9590089,2023-03-05 00:00:00,2026-04-22 19:03:01,1144,Unknown,Strada zorilor Vărbilău Prahova,4,1,Buraddo,"Not precise enough, which street is it?"
3898201,România,45.2556000,24.6503300,2023-09-20 00:00:00,2026-04-22 19:00:48,945,Tajtrdlik,"Forwarding anonymous report from #Mapy.cz user, please verify: 'Open daily'.  https://www.openstreetmap.org/node/2923574177",2,0,Buraddo,
3897353,România,47.6118000,24.7779000,2023-09-19 00:00:00,2026-04-22 19:00:25,946,vojtechzaboril,"Forwarding anonymous report from #mapycz user, please verify: There is a new blue marked hiking route. Link to recorded route below, please resurvey. https://mapy.cz/dopravni?dim=64c739b12c59d6c700785f41&x=24.7784662&y=47.5624264&z=13",2,0,Buraddo,"Not enough informations, there are a couple of blue marked hiking routes, so I believe the missing route was added in the meantime"
3894882,România,45.6110655,24.7919798,2023-09-18 00:00:00,2026-04-22 18:58:35,947,vojtechzaboril,"Forwarding anonymous report from #mapycz user, please verify: This route is unsused and without maintenance. Please resurvey. https://www.openstreetmap.org/relation/9718219",2,0,Buraddo,"Marked path, well-used according to Strava Heatmap"
3793879,România,44.6199056,25.4393752,2023-07-23 00:00:00,2026-04-22 18:56:56,1004,alexnder,check if this railway corridor is needed anymore,2,0,Buraddo,"Deleted, it's source was an old import. Not a railway"
3782467,România,46.6762498,23.0515057,2023-07-16 00:00:00,2026-04-22 18:55:19,1011,VincentOSM,Unable to answer 'What’s the surface here?' for https://osm.org/way/696084766 via StreetComplete 53.2:  I see no path here?  Attached photo(s): https://westnordost.de/p/161326.jpg,2,0,Buraddo,"According to Strava Heatmap, there is a well-used path, even if it may not be clearly visible in all seasons"
5135409,România,46.7109428,25.8314791,2026-01-19 00:00:00,2026-04-22 18:50:32,93,RandomMappppist,What's the fix me here?,2,0,Buraddo,
5038911,România,46.7149121,25.8215029,2025-11-05 00:00:00,2026-04-22 18:49:46,168,Mateusz Konieczny,https://www.openstreetmap.org/way/1300413980/history has name = (fixme)  Is it really named (fixme)? See https://wiki.openstreetmap.org/wiki/Key:fixme,2,0,Buraddo,
3777896,România,46.8022574,25.8032640,2023-07-13 00:00:00,2026-04-22 18:48:47,1014,zalnaRs,There is an extra road,2,0,Buraddo,Not enough informations
5225910,România,47.2254902,22.8714270,2026-03-30 00:00:00,2026-04-22 14:27:31,23,Unknown,house nr. 60-A,2,0,one_electro_dan,The location of this note is not precise.
5225918,România,47.2259582,22.8708908,2026-03-30 00:00:00,2026-04-22 14:26:49,23,Unknown,house nr. 465/D,2,0,one_electro_dan,Added address
5225913,România,47.2255575,22.8727090,2026-03-30 00:00:00,2026-04-22 14:26:39,23,Unknown,house nr. 60/L,2,0,one_electro_dan,
601580,România,47.9091078,23.8817722,2016-06-22 00:00:00,2026-04-22 14:09:51,3591,Unknown,Need exact location of the cave,2,0,one_electro_dan,I've closed the note and added fixme tag on node/4232154593 in Changeset/181675545
718784,România,47.4753352,25.6012022,2016-09-19 00:00:00,2026-04-22 13:56:22,3502,Unknown,La Hâgă,2,0,one_electro_dan,This note doesn't contain enough information.
