note_id,country_name,latitude,longitude,opened_at,closed_at,days_to_resolution,opened_by_username,opening_comment,total_comments,was_reopened,closed_by_username,closing_comment
CREATE FUNCTION
797974,Andorra,42.5437901,1.7314174,2016-11-27 00:00:00,2026-01-04 23:08:14,3325,TomFRSilva,Nanda Andorra (OSM data version: 2016-11-05T13:55:03Z) #mapsme,2,0,Sébastien Pi,"Do not find anything about that. Very old, still existing?"
4627728,Andorra,42.5440737,1.7335841,2025-02-15 00:00:00,2026-01-02 22:51:31,0,Unknown,columpios,2,0,wagner51,Added
4627727,Andorra,42.5438939,1.7342332,2025-02-15 00:00:00,2026-01-02 22:51:31,0,Unknown,Jefatura de policía +376755222,2,0,wagner51,Information added
4627725,Andorra,42.5439512,1.7341179,2025-02-15 00:00:00,2026-01-02 22:51:31,0,Unknown,+376755100 https://www.encamp.ad/?set_language=es&view_name=https://www.encamp.ad/portada_view,2,0,wagner51,Informations added
4865403,Andorra,42.5310792,1.6096178,2025-07-20 00:00:00,2025-12-18 12:27:37,0,Felsenroder,Hier ist ein abgeschlossenes Tor,5,1,kabelhaai,Added
3554752,Andorra,42.5351800,1.5827145,2023-02-11 00:00:00,2025-12-18 12:25:38,0,Treviño,"'Wrong location ' The place has gone or never existed. A user of Organic Maps application has reported that the POI was visible on the map (see snapshot date below), but was not found on the ground. OSM snapshot date: 2023-01-21T19:25:03Z POI name: Evenia Coray POI types: tourism-hotel  #organicmaps",2,0,kabelhaai,Not on osm anymore
4149202,Andorra,42.5079300,1.5494700,2024-03-11 00:00:00,2025-12-18 12:23:28,0,Unknown,Para bus Engolasters,3,0,kabelhaai,Done https://www.openstreetmap.org/node/9748905271
1139460,Andorra,42.5150019,1.5344381,2017-09-14 00:00:00,2025-12-18 12:21:07,0,Unknown,Stroma,2,0,kabelhaai,Unclear
4986090,Andorra,42.5071791,1.5219096,2025-09-30 00:00:00,2025-11-25 18:22:51,0,Ekeefoof,In context of overlay 'Things' – Bust – https://osm.org/node/13184980079 via StreetComplete_ee 61.1:  Bust  Attached photo(s): https://streetcomplete.app/p/308093.jpg,2,0,Ekeefoof,
4986666,Andorra,42.4864628,1.4937165,2025-10-01 00:00:00,2025-11-25 18:15:41,0,Ekeefoof,construction area  via StreetComplete_ee 61.1,2,0,Ekeefoof,
5065793,Andorra,42.5091777,1.5316538,2025-11-24 00:00:00,2025-11-24 11:22:11,0,Jesús Gómez,tramo de calle de único sentido hacia Consell d'Europa  #OsmAnd,2,0,Jesús Gómez,
5065792,Andorra,42.5092468,1.5316991,2025-11-24 00:00:00,2025-11-24 11:22:01,0,Jesús Gómez,No hay entrada a aparcamiento desde aquí   #OsmAnd,2,0,Jesús Gómez,
4627732,Andorra,42.5433722,1.7334688,2025-02-15 00:00:00,2025-11-24 11:03:19,0,Unknown,Hotel Panda +376755035 https://www.hotelpanda.casa/,2,0,K12230LF,added
4627734,Andorra,42.5428781,1.7336351,2025-02-15 00:00:00,2025-11-24 11:02:49,0,Unknown,Hotel Terranova +376845000 https://andorraterranovahotel.com/es,2,0,K12230LF,added
4629039,Andorra,42.5427457,1.7339838,2025-02-16 00:00:00,2025-11-24 11:02:17,0,Unknown,Hotel Restaurante Merino +376814123 https://www.hotelmerino.com/s,2,0,K12230LF,added
4629043,Andorra,42.5428525,1.7340884,2025-02-16 00:00:00,2025-11-24 11:01:43,0,Unknown,Banco Sabadell de Andorra,2,0,K12230LF,Added
